"species","mp_ml","max_HFI"
"Myrmecophaga_tridactyla",22.5,17.053
"Myrmecophaga_tridactyla",28.75,21.128
"Myrmecophaga_tridactyla",2.5,16.961
"Myrmecophaga_tridactyla",161.25,16.042
"Myrmecophaga_tridactyla",0,12.668
"Myrmecophaga_tridactyla",0,17.154
"Myrmecophaga_tridactyla",10,17.042
"Myrmecophaga_tridactyla",76.25,21.128
"Myrmecophaga_tridactyla",10,10.795
"Myrmecophaga_tridactyla",16.25,16.892
"Myrmecophaga_tridactyla",121.25,16.977
"Myrmecophaga_tridactyla",65,17.432
"Myrmecophaga_tridactyla",10,21.128
"Myrmecophaga_tridactyla",68.75,21.128
"Tapirus_terrestris",2.5,2.634
"Tapirus_terrestris",0,9.959
"Tapirus_terrestris",23.75,5.764
"Tapirus_terrestris",3.75,4.524
"Tapirus_terrestris",5,4.95
"Myrmecophaga_tridactyla",0,17.053
"Tapirus_terrestris",1.25,5.032
"Tapirus_terrestris",58.75,40.463
"Tapirus_terrestris",11.25,15.405
"Tapirus_terrestris",11.25,15.405
"Tapirus_terrestris",5,15.405
"Tapirus_terrestris",3.75,15.405
"Tapirus_terrestris",125,15.405
"Tapirus_terrestris",55,15.405
"Myrmecophaga_tridactyla",20,17.053
"Tapirus_terrestris",23.75,15.405
"Tapirus_terrestris",18.75,15.252
"Tapirus_terrestris",35,15.289
"Tapirus_terrestris",91.25,13.207
"Tapirus_terrestris",7.5,15.405
"Tapirus_terrestris",1.25,11.75
"Tapirus_terrestris",15,28.368
"Myrmecophaga_tridactyla",28.75,16.988
"Myrmecophaga_tridactyla",122.5,25.908
"Myrmecophaga_tridactyla",100,17.036
"Myrmecophaga_tridactyla",5,17.053
