"species","mp_ml","mean_dist_development"
"Myrmecophaga_tridactyla",22.5,2.93784640797204
"Myrmecophaga_tridactyla",28.75,1.79968844743271
"Myrmecophaga_tridactyla",2.5,5.81147612437767
"Myrmecophaga_tridactyla",161.25,3.47938857962661
"Myrmecophaga_tridactyla",0,2.72396841894854
"Myrmecophaga_tridactyla",0,4.35552399329508
"Myrmecophaga_tridactyla",10,4.04407795474475
"Myrmecophaga_tridactyla",76.25,1.51291964325505
"Myrmecophaga_tridactyla",10,2.90588510143021
"Myrmecophaga_tridactyla",16.25,4.51918522767905
"Myrmecophaga_tridactyla",121.25,2.88158327647813
"Myrmecophaga_tridactyla",65,8.40068719380702
"Myrmecophaga_tridactyla",10,1.92535972132573
"Myrmecophaga_tridactyla",68.75,1.76996718545849
"Tapirus_terrestris",2.5,63.7173856031583
"Tapirus_terrestris",0,61.0225482616477
"Tapirus_terrestris",23.75,60.2200130002092
"Tapirus_terrestris",3.75,61.8087111739318
"Tapirus_terrestris",5,67.3831479854869
"Myrmecophaga_tridactyla",0,4.38369743501271
"Tapirus_terrestris",1.25,62.8713792201832
"Tapirus_terrestris",58.75,0.174175449331616
"Tapirus_terrestris",11.25,2.6442085541352
"Tapirus_terrestris",11.25,0.273488373655261
"Tapirus_terrestris",5,8.95157490432785
"Tapirus_terrestris",3.75,2.72629580411355
"Tapirus_terrestris",125,7.34759175710777
"Tapirus_terrestris",55,4.06151155090486
"Myrmecophaga_tridactyla",20,3.51236536041468
"Tapirus_terrestris",23.75,4.85293313923991
"Tapirus_terrestris",18.75,5.57630780574746
"Tapirus_terrestris",35,4.4567380320544
"Tapirus_terrestris",91.25,4.13690046598659
"Tapirus_terrestris",7.5,4.27716664712292
"Tapirus_terrestris",1.25,4.53916718224369
"Tapirus_terrestris",15,0.0952808830718758
"Myrmecophaga_tridactyla",28.75,3.69929012587294
"Myrmecophaga_tridactyla",122.5,4.12170449388245
"Myrmecophaga_tridactyla",100,3.5317460179612
"Myrmecophaga_tridactyla",5,4.69531818667677
