"species","polymer","concentration"
"Tapirus_terrestris","ABS",0.288461538461538
"Tapirus_terrestris","Cellulose",1.05769230769231
"Tapirus_terrestris","Other",26.3461538461538
"Tapirus_terrestris","PET",0
"Tapirus_terrestris","Polyamide",15.0961538461538
"Tapirus_terrestris","Polyester",0.0961538461538462
"Tapirus_terrestris","Polyethylene",1.875
"Tapirus_terrestris","Polypropylene",42.6442307692308
"Tapirus_terrestris","Polystyrene",1.20192307692308
"Tapirus_terrestris","PVC",0.721153846153846
"Tapirus_terrestris","Rubber",0.769230769230769
"Tapirus_terrestris","Silicon",0.0480769230769231
"Tapirus_terrestris","Teflon",8.75
