"species","polymer","concentration"
"Myrmecophaga_tridactyla","ABS",0.654761904761905
"Myrmecophaga_tridactyla","Cellulose",7.32142857142857
"Myrmecophaga_tridactyla","Other",5.17857142857143
"Myrmecophaga_tridactyla","PET",1.25
"Myrmecophaga_tridactyla","Polyamide",1.07142857142857
"Myrmecophaga_tridactyla","Polyester",0.654761904761905
"Myrmecophaga_tridactyla","Polyethylene",0.0595238095238095
"Myrmecophaga_tridactyla","Polypropylene",4.76190476190476
"Myrmecophaga_tridactyla","Polystyrene",4.40476190476191
"Myrmecophaga_tridactyla","PVC",11.25
"Myrmecophaga_tridactyla","Rubber",1.19047619047619
"Myrmecophaga_tridactyla","Silicon",0.416666666666667
"Myrmecophaga_tridactyla","Teflon",4.28571428571429
