"species","polymer","concentration"
"Priodontes_maximus","ABS",0
"Priodontes_maximus","Cellulose",2.91666666666667
"Priodontes_maximus","Other",2.5
"Priodontes_maximus","PET",0
"Priodontes_maximus","Polyamide",0.416666666666667
"Priodontes_maximus","Polyester",0.416666666666667
"Priodontes_maximus","Polyethylene",0
"Priodontes_maximus","Polypropylene",5.41666666666667
"Priodontes_maximus","Polystyrene",0
"Priodontes_maximus","PVC",0.416666666666667
"Priodontes_maximus","Rubber",1.66666666666667
"Priodontes_maximus","Silicon",0.416666666666667
"Priodontes_maximus","Teflon",0
