"sample","species","polymer","concentration"
"B1","Myrmecophaga_tridactyla","PVC",0
"B1","Myrmecophaga_tridactyla","Polyethylene",0
"B1","Myrmecophaga_tridactyla","Polystyrene",0
"B1","Myrmecophaga_tridactyla","ABS",1.25
"B1","Myrmecophaga_tridactyla","Cellulose",0
"B1","Myrmecophaga_tridactyla","Other",15
"B1","Myrmecophaga_tridactyla","Polyamide",0
"B1","Myrmecophaga_tridactyla","Polypropylene",0
"B1","Myrmecophaga_tridactyla","Teflon",0
"B1","Myrmecophaga_tridactyla","Silicon",0
"B1","Myrmecophaga_tridactyla","Rubber",5
"B1","Myrmecophaga_tridactyla","PET",0
"B1","Myrmecophaga_tridactyla","Polyester",0
"B11","Myrmecophaga_tridactyla","ABS",1.25
"B11","Myrmecophaga_tridactyla","Cellulose",6.25
"B11","Myrmecophaga_tridactyla","Other",7.5
"B11","Myrmecophaga_tridactyla","PVC",0
"B11","Myrmecophaga_tridactyla","Polyester",0
"B11","Myrmecophaga_tridactyla","Polyethylene",0
"B11","Myrmecophaga_tridactyla","Polypropylene",0
"B11","Myrmecophaga_tridactyla","Polyamide",2.5
"B11","Myrmecophaga_tridactyla","Teflon",11.25
"B11","Myrmecophaga_tridactyla","Silicon",0
"B11","Myrmecophaga_tridactyla","Rubber",0
"B11","Myrmecophaga_tridactyla","PET",0
"B11","Myrmecophaga_tridactyla","Polystyrene",0
"B13","Myrmecophaga_tridactyla","ABS",0
"B13","Myrmecophaga_tridactyla","Cellulose",0
"B13","Myrmecophaga_tridactyla","Other",17.5
"B13","Myrmecophaga_tridactyla","Polystyrene",0
"B13","Myrmecophaga_tridactyla","Polyester",0
"B13","Myrmecophaga_tridactyla","Polyethylene",0
"B13","Myrmecophaga_tridactyla","Polypropylene",0
"B13","Myrmecophaga_tridactyla","Polyamide",1.25
"B13","Myrmecophaga_tridactyla","Rubber",0
"B13","Myrmecophaga_tridactyla","PET",0
"B13","Myrmecophaga_tridactyla","PVC",10
"B13","Myrmecophaga_tridactyla","Silicon",1.25
"B13","Myrmecophaga_tridactyla","Teflon",0
"B14","Myrmecophaga_tridactyla","PVC",0
"B14","Myrmecophaga_tridactyla","Silicon",0
"B14","Myrmecophaga_tridactyla","ABS",0
"B14","Myrmecophaga_tridactyla","Cellulose",0
"B14","Myrmecophaga_tridactyla","Other",2.5
"B14","Myrmecophaga_tridactyla","Polyamide",0
"B14","Myrmecophaga_tridactyla","Polyester",0
"B14","Myrmecophaga_tridactyla","Polyethylene",0
"B14","Myrmecophaga_tridactyla","Polystyrene",0
"B14","Myrmecophaga_tridactyla","Polypropylene",0
"B14","Myrmecophaga_tridactyla","Rubber",0
"B14","Myrmecophaga_tridactyla","PET",0
"B14","Myrmecophaga_tridactyla","Teflon",0
"B16","Myrmecophaga_tridactyla","Silicon",0
"B16","Myrmecophaga_tridactyla","Cellulose",6.25
"B16","Myrmecophaga_tridactyla","Other",11.25
"B16","Myrmecophaga_tridactyla","Polyamide",5
"B16","Myrmecophaga_tridactyla","ABS",5
"B16","Myrmecophaga_tridactyla","Polyethylene",0
"B16","Myrmecophaga_tridactyla","Polypropylene",21.25
"B16","Myrmecophaga_tridactyla","Polystyrene",76.25
"B16","Myrmecophaga_tridactyla","Polyester",0
"B16","Myrmecophaga_tridactyla","PVC",33.75
"B16","Myrmecophaga_tridactyla","Rubber",2.5
"B16","Myrmecophaga_tridactyla","PET",0
"B16","Myrmecophaga_tridactyla","Teflon",0
"B17","Myrmecophaga_tridactyla","PVC",0
"B17","Myrmecophaga_tridactyla","Cellulose",0
"B17","Myrmecophaga_tridactyla","Other",0
"B17","Myrmecophaga_tridactyla","Polyamide",0
"B17","Myrmecophaga_tridactyla","ABS",0
"B17","Myrmecophaga_tridactyla","Polyethylene",0
"B17","Myrmecophaga_tridactyla","Polypropylene",0
"B17","Myrmecophaga_tridactyla","Polystyrene",0
"B17","Myrmecophaga_tridactyla","Polyester",0
"B17","Myrmecophaga_tridactyla","Rubber",0
"B17","Myrmecophaga_tridactyla","PET",0
"B17","Myrmecophaga_tridactyla","Teflon",0
"B17","Myrmecophaga_tridactyla","Silicon",0
"B18","Myrmecophaga_tridactyla","Silicon",0
"B18","Myrmecophaga_tridactyla","Rubber",0
"B18","Myrmecophaga_tridactyla","PET",0
"B18","Myrmecophaga_tridactyla","ABS",0
"B18","Myrmecophaga_tridactyla","Cellulose",0
"B18","Myrmecophaga_tridactyla","Other",0
"B18","Myrmecophaga_tridactyla","Polyamide",0
"B18","Myrmecophaga_tridactyla","Polyester",0
"B18","Myrmecophaga_tridactyla","Polyethylene",0
"B18","Myrmecophaga_tridactyla","Polystyrene",0
"B18","Myrmecophaga_tridactyla","PVC",0
"B18","Myrmecophaga_tridactyla","Teflon",0
"B18","Myrmecophaga_tridactyla","Polypropylene",0
"B19","Myrmecophaga_tridactyla","PET",1.25
"B19","Myrmecophaga_tridactyla","ABS",0
"B19","Myrmecophaga_tridactyla","Other",1.25
"B19","Myrmecophaga_tridactyla","Polyamide",0
"B19","Myrmecophaga_tridactyla","Polyester",0
"B19","Myrmecophaga_tridactyla","Cellulose",0
"B19","Myrmecophaga_tridactyla","Polypropylene",0
"B19","Myrmecophaga_tridactyla","Polystyrene",0
"B19","Myrmecophaga_tridactyla","PVC",5
"B19","Myrmecophaga_tridactyla","Polyethylene",0
"B19","Myrmecophaga_tridactyla","Rubber",0
"B19","Myrmecophaga_tridactyla","Teflon",0
"B19","Myrmecophaga_tridactyla","Silicon",2.5
"B2","Myrmecophaga_tridactyla","Silicon",1.25
"B2","Myrmecophaga_tridactyla","ABS",0
"B2","Myrmecophaga_tridactyla","Other",11.25
"B2","Myrmecophaga_tridactyla","Polyamide",5
"B2","Myrmecophaga_tridactyla","Polyester",0
"B2","Myrmecophaga_tridactyla","Cellulose",52.5
"B2","Myrmecophaga_tridactyla","Polypropylene",0
"B2","Myrmecophaga_tridactyla","Polystyrene",3.75
"B2","Myrmecophaga_tridactyla","PVC",0
"B2","Myrmecophaga_tridactyla","Polyethylene",0
"B2","Myrmecophaga_tridactyla","PET",0
"B2","Myrmecophaga_tridactyla","Teflon",0
"B2","Myrmecophaga_tridactyla","Rubber",2.5
"B20","Myrmecophaga_tridactyla","Teflon",0
"B20","Myrmecophaga_tridactyla","Silicon",1.25
"B20","Myrmecophaga_tridactyla","PET",0
"B20","Myrmecophaga_tridactyla","ABS",0
"B20","Myrmecophaga_tridactyla","Cellulose",0
"B20","Myrmecophaga_tridactyla","Other",1.25
"B20","Myrmecophaga_tridactyla","Polyamide",0
"B20","Myrmecophaga_tridactyla","Polyester",0
"B20","Myrmecophaga_tridactyla","Polyethylene",1.25
"B20","Myrmecophaga_tridactyla","Polypropylene",3.75
"B20","Myrmecophaga_tridactyla","Polystyrene",0
"B20","Myrmecophaga_tridactyla","Rubber",0
"B20","Myrmecophaga_tridactyla","PVC",2.5
"B21","Myrmecophaga_tridactyla","ABS",0
"B21","Myrmecophaga_tridactyla","Cellulose",0
"B21","Myrmecophaga_tridactyla","Other",0
"B21","Myrmecophaga_tridactyla","Teflon",0
"B21","Myrmecophaga_tridactyla","Polyester",0
"B21","Myrmecophaga_tridactyla","Polyethylene",0
"B21","Myrmecophaga_tridactyla","Polypropylene",5
"B21","Myrmecophaga_tridactyla","Polyamide",0
"B21","Myrmecophaga_tridactyla","PVC",11.25
"B21","Myrmecophaga_tridactyla","Silicon",0
"B21","Myrmecophaga_tridactyla","Rubber",0
"B21","Myrmecophaga_tridactyla","Polystyrene",0
"B21","Myrmecophaga_tridactyla","PET",0
"B22","Myrmecophaga_tridactyla","ABS",1.25
"B22","Myrmecophaga_tridactyla","Cellulose",13.75
"B22","Myrmecophaga_tridactyla","Other",8.75
"B22","Myrmecophaga_tridactyla","PET",22.5
"B22","Myrmecophaga_tridactyla","Polyester",10
"B22","Myrmecophaga_tridactyla","Polyethylene",0
"B22","Myrmecophaga_tridactyla","Polypropylene",45
"B22","Myrmecophaga_tridactyla","Polyamide",0
"B22","Myrmecophaga_tridactyla","PVC",18.75
"B22","Myrmecophaga_tridactyla","Silicon",0
"B22","Myrmecophaga_tridactyla","Rubber",1.25
"B22","Myrmecophaga_tridactyla","Polystyrene",0
"B22","Myrmecophaga_tridactyla","Teflon",0
"B23","Myrmecophaga_tridactyla","Teflon",0
"B23","Myrmecophaga_tridactyla","Other",5
"B23","Myrmecophaga_tridactyla","ABS",1.25
"B23","Myrmecophaga_tridactyla","Cellulose",0
"B23","Myrmecophaga_tridactyla","Polypropylene",1.25
"B23","Myrmecophaga_tridactyla","Polyamide",0
"B23","Myrmecophaga_tridactyla","Polyester",3.75
"B23","Myrmecophaga_tridactyla","Polyethylene",0
"B23","Myrmecophaga_tridactyla","PET",0
"B23","Myrmecophaga_tridactyla","Polystyrene",0
"B23","Myrmecophaga_tridactyla","PVC",53.75
"B23","Myrmecophaga_tridactyla","Silicon",0
"B23","Myrmecophaga_tridactyla","Rubber",0
"B24","Myrmecophaga_tridactyla","ABS",0
"B24","Myrmecophaga_tridactyla","Cellulose",0
"B24","Myrmecophaga_tridactyla","Other",0
"B24","Myrmecophaga_tridactyla","Polyamide",0
