"species","Length"
"Myrmecophaga_tridactyla",8.74
"Myrmecophaga_tridactyla",9.66
"Myrmecophaga_tridactyla",26.82
"Myrmecophaga_tridactyla",13.84
"Myrmecophaga_tridactyla",6.82
"Myrmecophaga_tridactyla",12.27
"Myrmecophaga_tridactyla",19.71
"Myrmecophaga_tridactyla",8.26
"Myrmecophaga_tridactyla",4.72
"Myrmecophaga_tridactyla",6.82
"Myrmecophaga_tridactyla",15.58
"Myrmecophaga_tridactyla",10.71
"Myrmecophaga_tridactyla",4.31
"Myrmecophaga_tridactyla",6.53
"Myrmecophaga_tridactyla",6.82
"Myrmecophaga_tridactyla",3.44
"Myrmecophaga_tridactyla",17.03
"Myrmecophaga_tridactyla",11.71
"Myrmecophaga_tridactyla",3.5
"Myrmecophaga_tridactyla",5.95
"Myrmecophaga_tridactyla",11.44
"Myrmecophaga_tridactyla",11.32
"Myrmecophaga_tridactyla",4.98
"Myrmecophaga_tridactyla",9.21
"Myrmecophaga_tridactyla",3.46
"Myrmecophaga_tridactyla",21.52
"Myrmecophaga_tridactyla",7.87
"Myrmecophaga_tridactyla",4.15
"Myrmecophaga_tridactyla",2.93
"Myrmecophaga_tridactyla",27.86
"Myrmecophaga_tridactyla",3.4
"Myrmecophaga_tridactyla",3.46
"Myrmecophaga_tridactyla",2.77
"Myrmecophaga_tridactyla",6.92
"Myrmecophaga_tridactyla",2.93
"Myrmecophaga_tridactyla",9.78
"Myrmecophaga_tridactyla",26.41
"Myrmecophaga_tridactyla",10.06
"Myrmecophaga_tridactyla",3.4
"Myrmecophaga_tridactyla",11.15
"Myrmecophaga_tridactyla",6.23
"Myrmecophaga_tridactyla",4.82
"Myrmecophaga_tridactyla",12.54
"Myrmecophaga_tridactyla",31.06
"Myrmecophaga_tridactyla",16.36
"Myrmecophaga_tridactyla",4.78
"Myrmecophaga_tridactyla",3.45
"Myrmecophaga_tridactyla",6.96
"Myrmecophaga_tridactyla",28.68
"Myrmecophaga_tridactyla",10.51
"Myrmecophaga_tridactyla",7.72
"Myrmecophaga_tridactyla",5.89
"Myrmecophaga_tridactyla",18.98
"Myrmecophaga_tridactyla",5.79
"Myrmecophaga_tridactyla",32.34
"Myrmecophaga_tridactyla",8.68
"Myrmecophaga_tridactyla",20.26
"Myrmecophaga_tridactyla",5.18
"Myrmecophaga_tridactyla",4.09
"Myrmecophaga_tridactyla",10.23
"Myrmecophaga_tridactyla",4.75
"Myrmecophaga_tridactyla",3.66
"Myrmecophaga_tridactyla",4.68
"Myrmecophaga_tridactyla",3.45
"Myrmecophaga_tridactyla",2.73
"Myrmecophaga_tridactyla",8.66
"Myrmecophaga_tridactyla",10.65
"Myrmecophaga_tridactyla",11.63
"Myrmecophaga_tridactyla",13.44
"Myrmecophaga_tridactyla",6.16
"Myrmecophaga_tridactyla",9.97
"Myrmecophaga_tridactyla",5.12
"Myrmecophaga_tridactyla",4.69
"Myrmecophaga_tridactyla",7.74
"Myrmecophaga_tridactyla",7.52
"Myrmecophaga_tridactyla",5.19
"Myrmecophaga_tridactyla",16.37
"Myrmecophaga_tridactyla",9.68
"Myrmecophaga_tridactyla",10.95
"Myrmecophaga_tridactyla",16.88
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",15.48
"Myrmecophaga_tridactyla",4.79
"Myrmecophaga_tridactyla",32.68
"Myrmecophaga_tridactyla",14.93
"Myrmecophaga_tridactyla",15.41
"Myrmecophaga_tridactyla",7.74
"Myrmecophaga_tridactyla",6.84
"Myrmecophaga_tridactyla",3.46
"Myrmecophaga_tridactyla",7.74
"Myrmecophaga_tridactyla",14.37
"Myrmecophaga_tridactyla",3.42
"Myrmecophaga_tridactyla",30.54
"Myrmecophaga_tridactyla",11.86
"Myrmecophaga_tridactyla",8.46
"Myrmecophaga_tridactyla",9.18
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",9.24
"Myrmecophaga_tridactyla",8.66
"Myrmecophaga_tridactyla",9.58
"Myrmecophaga_tridactyla",9.11
"Myrmecophaga_tridactyla",13
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",16.62
"Myrmecophaga_tridactyla",6.84
"Myrmecophaga_tridactyla",13.69
"Myrmecophaga_tridactyla",8.21
"Myrmecophaga_tridactyla",8.71
"Myrmecophaga_tridactyla",11.54
"Myrmecophaga_tridactyla",10.26
"Myrmecophaga_tridactyla",5.47
"Myrmecophaga_tridactyla",10.64
"Myrmecophaga_tridactyla",16.73
"Myrmecophaga_tridactyla",9.68
"Myrmecophaga_tridactyla",9.58
"Myrmecophaga_tridactyla",16.17
"Myrmecophaga_tridactyla",6.06
"Myrmecophaga_tridactyla",13
"Myrmecophaga_tridactyla",5.47
"Myrmecophaga_tridactyla",14.38
"Myrmecophaga_tridactyla",21.64
"Myrmecophaga_tridactyla",43.43
"Myrmecophaga_tridactyla",21.29
"Myrmecophaga_tridactyla",5.37
"Myrmecophaga_tridactyla",4.76
"Myrmecophaga_tridactyla",6.97
"Myrmecophaga_tridactyla",10.64
"Myrmecophaga_tridactyla",12.82
"Myrmecophaga_tridactyla",5.47
"Myrmecophaga_tridactyla",14.37
"Myrmecophaga_tridactyla",11.68
"Myrmecophaga_tridactyla",5.63
"Myrmecophaga_tridactyla",2.74
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",14.02
"Myrmecophaga_tridactyla",10.12
"Myrmecophaga_tridactyla",5.47
"Myrmecophaga_tridactyla",9.62
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",3.06
"Myrmecophaga_tridactyla",8.71
"Myrmecophaga_tridactyla",10.64
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",17.45
"Myrmecophaga_tridactyla",2.9
"Myrmecophaga_tridactyla",12.58
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",12.97
"Myrmecophaga_tridactyla",6.77
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",22.34
"Myrmecophaga_tridactyla",18.41
"Myrmecophaga_tridactyla",8.71
"Myrmecophaga_tridactyla",15.48
"Myrmecophaga_tridactyla",20.32
"Myrmecophaga_tridactyla",7.53
"Myrmecophaga_tridactyla",16.45
"Myrmecophaga_tridactyla",6.06
"Myrmecophaga_tridactyla",14.63
"Myrmecophaga_tridactyla",5.47
"Myrmecophaga_tridactyla",37.93
"Myrmecophaga_tridactyla",10.08
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",11.61
"Myrmecophaga_tridactyla",5.64
"Myrmecophaga_tridactyla",8.81
"Myrmecophaga_tridactyla",4.03
"Myrmecophaga_tridactyla",8.05
"Myrmecophaga_tridactyla",3.87
"Myrmecophaga_tridactyla",4.79
"Myrmecophaga_tridactyla",14.52
"Myrmecophaga_tridactyla",8.71
"Myrmecophaga_tridactyla",8.87
"Myrmecophaga_tridactyla",48.38
"Myrmecophaga_tridactyla",9.58
"Myrmecophaga_tridactyla",7.74
"Myrmecophaga_tridactyla",21.29
