"species","Width"
"Myrmecophaga_tridactyla",4.72
"Myrmecophaga_tridactyla",8.34
"Myrmecophaga_tridactyla",25.39
"Myrmecophaga_tridactyla",11.67
"Myrmecophaga_tridactyla",4.87
"Myrmecophaga_tridactyla",10.13
"Myrmecophaga_tridactyla",10.78
"Myrmecophaga_tridactyla",3.44
"Myrmecophaga_tridactyla",2.83
"Myrmecophaga_tridactyla",6.82
"Myrmecophaga_tridactyla",12.66
"Myrmecophaga_tridactyla",6.82
"Myrmecophaga_tridactyla",2.46
"Myrmecophaga_tridactyla",3.05
"Myrmecophaga_tridactyla",3.9
"Myrmecophaga_tridactyla",2.76
"Myrmecophaga_tridactyla",10.34
"Myrmecophaga_tridactyla",10.33
"Myrmecophaga_tridactyla",2.62
"Myrmecophaga_tridactyla",4.41
"Myrmecophaga_tridactyla",9.59
"Myrmecophaga_tridactyla",5.18
"Myrmecophaga_tridactyla",4.51
"Myrmecophaga_tridactyla",2.62
"Myrmecophaga_tridactyla",2.08
"Myrmecophaga_tridactyla",14.67
"Myrmecophaga_tridactyla",3.06
"Myrmecophaga_tridactyla",2.77
"Myrmecophaga_tridactyla",2.93
"Myrmecophaga_tridactyla",25.44
"Myrmecophaga_tridactyla",2.47
"Myrmecophaga_tridactyla",3.46
"Myrmecophaga_tridactyla",2.77
"Myrmecophaga_tridactyla",2.08
"Myrmecophaga_tridactyla",2.93
"Myrmecophaga_tridactyla",6.85
"Myrmecophaga_tridactyla",13.69
"Myrmecophaga_tridactyla",1.31
"Myrmecophaga_tridactyla",2.47
"Myrmecophaga_tridactyla",1.57
"Myrmecophaga_tridactyla",1.38
"Myrmecophaga_tridactyla",3.86
"Myrmecophaga_tridactyla",6.75
"Myrmecophaga_tridactyla",9.49
"Myrmecophaga_tridactyla",8.52
"Myrmecophaga_tridactyla",3.41
"Myrmecophaga_tridactyla",1.73
"Myrmecophaga_tridactyla",0.8
"Myrmecophaga_tridactyla",16.5
"Myrmecophaga_tridactyla",10.37
"Myrmecophaga_tridactyla",3.86
"Myrmecophaga_tridactyla",4.55
"Myrmecophaga_tridactyla",14.67
"Myrmecophaga_tridactyla",4.82
"Myrmecophaga_tridactyla",12.06
"Myrmecophaga_tridactyla",6.75
"Myrmecophaga_tridactyla",15.44
"Myrmecophaga_tridactyla",3.45
"Myrmecophaga_tridactyla",4.09
"Myrmecophaga_tridactyla",4.78
"Myrmecophaga_tridactyla",0.86
"Myrmecophaga_tridactyla",2.14
"Myrmecophaga_tridactyla",3.74
"Myrmecophaga_tridactyla",2.59
"Myrmecophaga_tridactyla",2.73
"Myrmecophaga_tridactyla",2.89
"Myrmecophaga_tridactyla",5.78
"Myrmecophaga_tridactyla",5.2
"Myrmecophaga_tridactyla",7.32
"Myrmecophaga_tridactyla",2.05
"Myrmecophaga_tridactyla",3.96
"Myrmecophaga_tridactyla",2.28
"Myrmecophaga_tridactyla",3.99
"Myrmecophaga_tridactyla",6.77
"Myrmecophaga_tridactyla",7.25
"Myrmecophaga_tridactyla",3.9
"Myrmecophaga_tridactyla",9.93
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",8.21
"Myrmecophaga_tridactyla",16.01
"Myrmecophaga_tridactyla",4.84
"Myrmecophaga_tridactyla",14.52
"Myrmecophaga_tridactyla",1.37
"Myrmecophaga_tridactyla",13.44
"Myrmecophaga_tridactyla",9.24
"Myrmecophaga_tridactyla",11.25
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",5.47
"Myrmecophaga_tridactyla",3.03
"Myrmecophaga_tridactyla",6.77
"Myrmecophaga_tridactyla",4.79
"Myrmecophaga_tridactyla",2.05
"Myrmecophaga_tridactyla",9.34
"Myrmecophaga_tridactyla",7.55
"Myrmecophaga_tridactyla",4.38
"Myrmecophaga_tridactyla",5.51
"Myrmecophaga_tridactyla",4.84
"Myrmecophaga_tridactyla",4.08
"Myrmecophaga_tridactyla",5.19
"Myrmecophaga_tridactyla",6.84
"Myrmecophaga_tridactyla",4.56
"Myrmecophaga_tridactyla",10.95
"Myrmecophaga_tridactyla",4.84
"Myrmecophaga_tridactyla",13.52
"Myrmecophaga_tridactyla",4.79
"Myrmecophaga_tridactyla",13
"Myrmecophaga_tridactyla",8.21
"Myrmecophaga_tridactyla",6.77
"Myrmecophaga_tridactyla",5.64
"Myrmecophaga_tridactyla",8.21
"Myrmecophaga_tridactyla",4.79
"Myrmecophaga_tridactyla",8.71
"Myrmecophaga_tridactyla",14.62
"Myrmecophaga_tridactyla",8.71
"Myrmecophaga_tridactyla",7.53
"Myrmecophaga_tridactyla",8.16
"Myrmecophaga_tridactyla",5.63
"Myrmecophaga_tridactyla",8.9
"Myrmecophaga_tridactyla",3.42
"Myrmecophaga_tridactyla",3.37
"Myrmecophaga_tridactyla",9.52
"Myrmecophaga_tridactyla",32.92
"Myrmecophaga_tridactyla",20.32
"Myrmecophaga_tridactyla",2.68
"Myrmecophaga_tridactyla",3.03
"Myrmecophaga_tridactyla",1.74
"Myrmecophaga_tridactyla",6.77
"Myrmecophaga_tridactyla",4.38
"Myrmecophaga_tridactyla",4.11
"Myrmecophaga_tridactyla",6.84
"Myrmecophaga_tridactyla",8.66
"Myrmecophaga_tridactyla",1.3
