"species","mp_ml","hr"
"Myrmecophaga_tridactyla",22.5,3.77006446
"Myrmecophaga_tridactyla",28.75,7.781572512
"Myrmecophaga_tridactyla",2.5,4.563224012
"Myrmecophaga_tridactyla",161.25,4.827943863
"Myrmecophaga_tridactyla",0,5.122574636
"Myrmecophaga_tridactyla",0,6.81610661
"Myrmecophaga_tridactyla",10,2.098653788
"Myrmecophaga_tridactyla",76.25,2.453239607
"Myrmecophaga_tridactyla",10,1.664727442
"Myrmecophaga_tridactyla",16.25,0.9182684895
"Myrmecophaga_tridactyla",121.25,2.261037985
"Myrmecophaga_tridactyla",65,2.155035436
"Myrmecophaga_tridactyla",10,7.832083286
"Priodontes_maximus",8.75,3.85381001340264
"Priodontes_maximus",20,16.7855122319207
"Myrmecophaga_tridactyla",68.75,3.938302003
"Tapirus_terrestris",2.5,4.40344498357808
"Tapirus_terrestris",0,12.2984631392728
"Tapirus_terrestris",23.75,2.37863286797982
"Tapirus_terrestris",3.75,4.17439189425694
"Tapirus_terrestris",5,3.47584812960952
"Myrmecophaga_tridactyla",0,5.582595551
"Tapirus_terrestris",1.25,7.21998989053515
"Tapirus_terrestris",58.75,2.43701316257234
"Tapirus_terrestris",11.25,8.1534143755852
"Tapirus_terrestris",11.25,1.8233662369139
"Tapirus_terrestris",5,29.2489823998783
"Tapirus_terrestris",3.75,20.2894380111439
"Tapirus_terrestris",125,32.9314775152083
"Tapirus_terrestris",55,23.8254206327181
"Myrmecophaga_tridactyla",20,3.401907892
"Tapirus_terrestris",23.75,16.688428627875
"Tapirus_terrestris",18.75,5.75872161435737
"Tapirus_terrestris",35,5.89173832428669
"Tapirus_terrestris",91.25,3.83698010507459
"Tapirus_terrestris",7.5,9.64644564483896
"Tapirus_terrestris",1.25,3.99721970727709
"Tapirus_terrestris",15,4.11277040248571
"Myrmecophaga_tridactyla",28.75,5.440542974
"Myrmecophaga_tridactyla",122.5,356.9618273
"Myrmecophaga_tridactyla",100,6.008266692
"Myrmecophaga_tridactyla",5,2.836756438
