"species","mp_ml","diffusion"
"Myrmecophaga_tridactyla",22.5,7.085168174
"Myrmecophaga_tridactyla",28.75,5.664893945
"Myrmecophaga_tridactyla",2.5,10.93920912
"Myrmecophaga_tridactyla",161.25,10.44216648
"Myrmecophaga_tridactyla",0,4.800958761
"Myrmecophaga_tridactyla",0,11.28044774
"Myrmecophaga_tridactyla",10,3.704728116
"Myrmecophaga_tridactyla",76.25,6.632426149
"Myrmecophaga_tridactyla",10,1.986860961
"Myrmecophaga_tridactyla",16.25,1.65524059
"Myrmecophaga_tridactyla",121.25,3.03533697
"Myrmecophaga_tridactyla",65,3.407583058
"Myrmecophaga_tridactyla",10,6.059389222
"Priodontes_maximus",8.75,12.5164300210027
"Priodontes_maximus",20,26.1257434856833
"Myrmecophaga_tridactyla",68.75,8.371496714
"Tapirus_terrestris",2.5,27.1305316890101
"Tapirus_terrestris",0,38.6692646133477
"Tapirus_terrestris",23.75,12.1079476421878
"Tapirus_terrestris",3.75,6.74104468402685
"Tapirus_terrestris",5,29.2898404336794
"Myrmecophaga_tridactyla",0,5.833711122
"Tapirus_terrestris",1.25,5.19502530366727
"Tapirus_terrestris",58.75,8.50359087792068
"Tapirus_terrestris",11.25,35.8599433178441
"Tapirus_terrestris",11.25,10.1602379110348
"Tapirus_terrestris",5,88.1072009163105
"Tapirus_terrestris",3.75,75.1176623667599
"Tapirus_terrestris",125,154.141534567993
"Tapirus_terrestris",55,45.6147003661605
"Myrmecophaga_tridactyla",20,10.15713761
"Tapirus_terrestris",23.75,58.6001782098202
"Tapirus_terrestris",18.75,32.8985703870396
"Tapirus_terrestris",35,28.361987691537
"Tapirus_terrestris",91.25,27.4570961893946
"Tapirus_terrestris",7.5,52.6197010375889
"Tapirus_terrestris",1.25,23.4025786376297
"Tapirus_terrestris",15,9.25159773585548
"Myrmecophaga_tridactyla",28.75,6.205366052
"Myrmecophaga_tridactyla",122.5,12.986102
"Myrmecophaga_tridactyla",100,8.364515144
"Myrmecophaga_tridactyla",5,4.927623166
