"species","mp_ml","Agriculture"
"Myrmecophaga_tridactyla",22.5,0.67
"Myrmecophaga_tridactyla",28.75,11.23
"Myrmecophaga_tridactyla",2.5,5.37
"Myrmecophaga_tridactyla",161.25,0.15
"Myrmecophaga_tridactyla",0,0
"Myrmecophaga_tridactyla",0,0.97
"Myrmecophaga_tridactyla",10,0.23
"Myrmecophaga_tridactyla",76.25,80.48
"Myrmecophaga_tridactyla",10,0
"Myrmecophaga_tridactyla",16.25,3.43
"Myrmecophaga_tridactyla",121.25,0.25
"Myrmecophaga_tridactyla",65,0.76
"Myrmecophaga_tridactyla",10,5.18
"Priodontes_maximus",8.75,0
"Priodontes_maximus",20,0
"Myrmecophaga_tridactyla",68.75,4.06
"Tapirus_terrestris",2.5,0
"Tapirus_terrestris",0,0
"Tapirus_terrestris",23.75,0
"Tapirus_terrestris",3.75,0
"Tapirus_terrestris",5,0
"Myrmecophaga_tridactyla",0,1.08
"Tapirus_terrestris",1.25,0
"Tapirus_terrestris",58.75,1.02
"Tapirus_terrestris",11.25,72.34
"Tapirus_terrestris",11.25,37.03
"Tapirus_terrestris",5,70.05
"Tapirus_terrestris",3.75,30.63
"Tapirus_terrestris",125,37.75
"Tapirus_terrestris",55,52.17
"Myrmecophaga_tridactyla",20,0.04
"Tapirus_terrestris",23.75,47.74
"Tapirus_terrestris",18.75,25.87
"Tapirus_terrestris",35,47.97
"Tapirus_terrestris",91.25,34.29
"Tapirus_terrestris",7.5,36.49
"Tapirus_terrestris",1.25,27.15
"Tapirus_terrestris",15,0
"Myrmecophaga_tridactyla",28.75,0.29
"Myrmecophaga_tridactyla",122.5,9.24
"Myrmecophaga_tridactyla",100,0.03
"Myrmecophaga_tridactyla",5,6
