"species","mp_ml","Water"
"Myrmecophaga_tridactyla",22.5,0
"Myrmecophaga_tridactyla",28.75,4.72
"Myrmecophaga_tridactyla",2.5,0.02
"Myrmecophaga_tridactyla",161.25,0
"Myrmecophaga_tridactyla",0,0
"Myrmecophaga_tridactyla",0,0.12
"Myrmecophaga_tridactyla",10,0
"Myrmecophaga_tridactyla",76.25,1.04
"Myrmecophaga_tridactyla",10,0
"Myrmecophaga_tridactyla",16.25,0
"Myrmecophaga_tridactyla",121.25,0
"Myrmecophaga_tridactyla",65,0.11
"Myrmecophaga_tridactyla",10,2.27
"Priodontes_maximus",8.75,3.5
"Priodontes_maximus",20,5.18
"Myrmecophaga_tridactyla",68.75,3.13
"Tapirus_terrestris",2.5,14.13
"Tapirus_terrestris",0,14.71
"Tapirus_terrestris",23.75,5.34
"Tapirus_terrestris",3.75,13.34
"Tapirus_terrestris",5,3.83
"Myrmecophaga_tridactyla",0,0
"Tapirus_terrestris",1.25,15.35
"Tapirus_terrestris",58.75,0.3
"Tapirus_terrestris",11.25,0.05
"Tapirus_terrestris",11.25,1.76
"Tapirus_terrestris",5,0.12
"Tapirus_terrestris",3.75,0.34
"Tapirus_terrestris",125,0.01
"Tapirus_terrestris",55,0.06
"Myrmecophaga_tridactyla",20,0
"Tapirus_terrestris",23.75,0.06
"Tapirus_terrestris",18.75,0.06
"Tapirus_terrestris",35,0.14
"Tapirus_terrestris",91.25,0.04
"Tapirus_terrestris",7.5,0.14
"Tapirus_terrestris",1.25,0.07
"Tapirus_terrestris",15,0.89
"Myrmecophaga_tridactyla",28.75,0
"Myrmecophaga_tridactyla",122.5,1.35
"Myrmecophaga_tridactyla",100,0
"Myrmecophaga_tridactyla",5,0.01
