"species","mp_ml","mean_HFI"
"Myrmecophaga_tridactyla",22.5,8.29906372099343
"Myrmecophaga_tridactyla",28.75,13.3272976926967
"Myrmecophaga_tridactyla",2.5,13.6724502799293
"Myrmecophaga_tridactyla",161.25,8.53957132062023
"Myrmecophaga_tridactyla",0,3.8352719678087
"Myrmecophaga_tridactyla",0,8.93480563941431
"Myrmecophaga_tridactyla",10,9.5048241684535
"Myrmecophaga_tridactyla",76.25,16.4612830397839
"Myrmecophaga_tridactyla",10,8.03953350366545
"Myrmecophaga_tridactyla",16.25,11.5435170693374
"Myrmecophaga_tridactyla",121.25,8.74322794673263
"Myrmecophaga_tridactyla",65,7.1554244962763
"Myrmecophaga_tridactyla",10,11.3999427095233
"Priodontes_maximus",8.75,1.92042519729747
"Priodontes_maximus",20,1.9532963530679
"Myrmecophaga_tridactyla",68.75,12.112782658672
"Tapirus_terrestris",2.5,2.30118847894469
"Tapirus_terrestris",0,2.21485916423045
"Tapirus_terrestris",23.75,2.61352081880633
"Tapirus_terrestris",3.75,2.30867080744593
"Tapirus_terrestris",5,2.45955171620053
"Myrmecophaga_tridactyla",0,10.0010512215577
"Tapirus_terrestris",1.25,2.29053225094808
"Tapirus_terrestris",58.75,27.1888003648347
"Tapirus_terrestris",11.25,6.16612299535385
"Tapirus_terrestris",11.25,6.75297166660297
"Tapirus_terrestris",5,9.53082560839894
"Tapirus_terrestris",3.75,4.15143469857334
"Tapirus_terrestris",125,8.00321910033418
"Tapirus_terrestris",55,5.552068303089
"Myrmecophaga_tridactyla",20,7.8457785903189
"Tapirus_terrestris",23.75,3.52466007059432
"Tapirus_terrestris",18.75,2.22060162868302
"Tapirus_terrestris",35,3.55427577126203
"Tapirus_terrestris",91.25,3.20800317746512
"Tapirus_terrestris",7.5,3.32128665764124
"Tapirus_terrestris",1.25,2.60404887913726
"Tapirus_terrestris",15,9.50668299681199
"Myrmecophaga_tridactyla",28.75,8.69037086221415
"Myrmecophaga_tridactyla",122.5,8.73276984683591
"Myrmecophaga_tridactyla",100,8.41972736155453
"Myrmecophaga_tridactyla",5,12.0295123095609
