"species","mp_ml","mean_dist_waste"
"Myrmecophaga_tridactyla",22.5,60.9930494770644
"Myrmecophaga_tridactyla",28.75,67.4472291170426
"Myrmecophaga_tridactyla",2.5,63.2727052203754
"Myrmecophaga_tridactyla",161.25,60.3453016083168
"Myrmecophaga_tridactyla",0,57.5070597219737
"Myrmecophaga_tridactyla",0,61.5935300901742
"Myrmecophaga_tridactyla",10,62.7392190551876
"Myrmecophaga_tridactyla",76.25,68.2703193540789
"Myrmecophaga_tridactyla",10,61.33102186966
"Myrmecophaga_tridactyla",16.25,62.8826693660166
"Myrmecophaga_tridactyla",121.25,61.7208268849293
"Myrmecophaga_tridactyla",65,38.1981192113847
"Myrmecophaga_tridactyla",10,68.4715806696243
"Priodontes_maximus",8.75,107.380780728611
"Priodontes_maximus",20,112.868588687354
"Myrmecophaga_tridactyla",68.75,68.2165836953462
"Tapirus_terrestris",2.5,111.894312254112
"Tapirus_terrestris",0,110.421076488064
"Tapirus_terrestris",23.75,111.560394420041
"Tapirus_terrestris",3.75,112.270978377034
"Tapirus_terrestris",5,117.773456720376
"Myrmecophaga_tridactyla",0,62.7838076490676
"Tapirus_terrestris",1.25,112.141421223584
"Tapirus_terrestris",58.75,74.662639495345
"Tapirus_terrestris",11.25,54.2394530926844
"Tapirus_terrestris",11.25,55.0136094541687
"Tapirus_terrestris",5,46.216614528335
"Tapirus_terrestris",3.75,54.2801352487007
"Tapirus_terrestris",125,48.2606163224385
"Tapirus_terrestris",55,52.0031675176895
"Myrmecophaga_tridactyla",20,61.7186496444518
"Tapirus_terrestris",23.75,52.0970816164825
"Tapirus_terrestris",18.75,52.3297940902034
"Tapirus_terrestris",35,52.2758673016815
"Tapirus_terrestris",91.25,54.4057310343853
"Tapirus_terrestris",7.5,54.3342916071471
"Tapirus_terrestris",1.25,54.2588541722967
"Tapirus_terrestris",15,28.6780602095732
"Myrmecophaga_tridactyla",28.75,61.0714413475392
"Myrmecophaga_tridactyla",122.5,37.8270409324277
"Myrmecophaga_tridactyla",100,61.0172358639674
"Myrmecophaga_tridactyla",5,63.1689316733741
