"sample","species","biome","polymer","concentration"
"B1","Myrmecophaga_tridactyla","Cerrado","PVC",0
"B1","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B1","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B1","Myrmecophaga_tridactyla","Cerrado","ABS",1.25
"B1","Myrmecophaga_tridactyla","Cerrado","Cellulose",0
"B1","Myrmecophaga_tridactyla","Cerrado","Other",15
"B1","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
"B1","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B1","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B1","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B1","Myrmecophaga_tridactyla","Cerrado","Rubber",5
"B1","Myrmecophaga_tridactyla","Cerrado","PET",0
"B1","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B11","Myrmecophaga_tridactyla","Cerrado","ABS",1.25
"B11","Myrmecophaga_tridactyla","Cerrado","Cellulose",6.25
"B11","Myrmecophaga_tridactyla","Cerrado","Other",7.5
"B11","Myrmecophaga_tridactyla","Cerrado","PVC",0
"B11","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B11","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B11","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B11","Myrmecophaga_tridactyla","Cerrado","Polyamide",2.5
"B11","Myrmecophaga_tridactyla","Cerrado","Teflon",11.25
"B11","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B11","Myrmecophaga_tridactyla","Cerrado","Rubber",0
"B11","Myrmecophaga_tridactyla","Cerrado","PET",0
"B11","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B13","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B13","Myrmecophaga_tridactyla","Cerrado","Cellulose",0
"B13","Myrmecophaga_tridactyla","Cerrado","Other",17.5
"B13","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B13","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B13","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B13","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B13","Myrmecophaga_tridactyla","Cerrado","Polyamide",1.25
"B13","Myrmecophaga_tridactyla","Cerrado","Rubber",0
"B13","Myrmecophaga_tridactyla","Cerrado","PET",0
"B13","Myrmecophaga_tridactyla","Cerrado","PVC",10
"B13","Myrmecophaga_tridactyla","Cerrado","Silicon",1.25
"B13","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B14","Myrmecophaga_tridactyla","Cerrado","PVC",0
"B14","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B14","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B14","Myrmecophaga_tridactyla","Cerrado","Cellulose",0
"B14","Myrmecophaga_tridactyla","Cerrado","Other",2.5
"B14","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
"B14","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B14","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B14","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B14","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B14","Myrmecophaga_tridactyla","Cerrado","Rubber",0
"B14","Myrmecophaga_tridactyla","Cerrado","PET",0
"B14","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B16","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B16","Myrmecophaga_tridactyla","Cerrado","Cellulose",6.25
"B16","Myrmecophaga_tridactyla","Cerrado","Other",11.25
"B16","Myrmecophaga_tridactyla","Cerrado","Polyamide",5
"B16","Myrmecophaga_tridactyla","Cerrado","ABS",5
"B16","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B16","Myrmecophaga_tridactyla","Cerrado","Polypropylene",21.25
"B16","Myrmecophaga_tridactyla","Cerrado","Polystyrene",76.25
"B16","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B16","Myrmecophaga_tridactyla","Cerrado","PVC",33.75
"B16","Myrmecophaga_tridactyla","Cerrado","Rubber",2.5
"B16","Myrmecophaga_tridactyla","Cerrado","PET",0
"B16","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B17","Myrmecophaga_tridactyla","Cerrado","PVC",0
"B17","Myrmecophaga_tridactyla","Cerrado","Cellulose",0
"B17","Myrmecophaga_tridactyla","Cerrado","Other",0
"B17","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
"B17","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B17","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B17","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B17","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B17","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B17","Myrmecophaga_tridactyla","Cerrado","Rubber",0
"B17","Myrmecophaga_tridactyla","Cerrado","PET",0
"B17","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B17","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B18","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B18","Myrmecophaga_tridactyla","Cerrado","Rubber",0
"B18","Myrmecophaga_tridactyla","Cerrado","PET",0
"B18","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B18","Myrmecophaga_tridactyla","Cerrado","Cellulose",0
"B18","Myrmecophaga_tridactyla","Cerrado","Other",0
"B18","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
"B18","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B18","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B18","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B18","Myrmecophaga_tridactyla","Cerrado","PVC",0
"B18","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B18","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B19","Myrmecophaga_tridactyla","Cerrado","PET",1.25
"B19","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B19","Myrmecophaga_tridactyla","Cerrado","Other",1.25
"B19","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
