"biome","polymer","concentration"
"Cerrado","ABS",0.625
"Cerrado","Cellulose",6.98863636363636
"Cerrado","Other",6.64772727272727
"Cerrado","PET",1.19318181818182
"Cerrado","Polyamide",1.02272727272727
"Cerrado","Polyester",0.625
"Cerrado","Polyethylene",0.0568181818181818
"Cerrado","Polypropylene",5.51136363636364
"Cerrado","Polystyrene",4.20454545454545
"Cerrado","PVC",10.7386363636364
"Cerrado","Rubber",1.13636363636364
"Cerrado","Silicon",0.397727272727273
"Cerrado","Teflon",4.09090909090909
