"n","n_polymers_mean","n_polymers_sd"
1,3.79,2.65640069388348
2,6.29,2.52780497265869
3,8.03,2.22227020150225
4,9.09,1.84825880386395
5,10.07,1.41603372669987
6,10.6,1.31040898851149
7,10.86,1.13724814061547
8,11.26,1.16878595391141
9,11.65,0.988571053224161
10,11.69,0.860995430483305
11,12.05,0.78334945180064
12,12.17,0.739300788965937
13,12.29,0.71484970518991
14,12.52,0.521845985251618
15,12.53,0.540388935878782
16,12.56,0.608359277155375
17,12.72,0.473115613606636
18,12.8,0.426401432711221
19,12.77,0.422952584681651
20,12.91,0.287623491264661
21,12.98,0.14070529413629
22,13,0
