"n","Shannon_mean","Shannon_sd"
1,0.895453736407414,0.594346741983029
2,1.30755072403424,0.441812447348689
3,1.54045390438482,0.366692291530072
4,1.64357179491128,0.327437584616565
5,1.75609763129829,0.22993745821607
6,1.80198525644587,0.224980263213505
7,1.8311261951652,0.192733096329949
8,1.8958919358443,0.177581094302238
9,1.92263811630759,0.164708664149804
10,1.93620084945855,0.140775840304904
11,1.97701084864015,0.120626127864161
12,1.98312605137553,0.135387604247774
13,1.98993265059337,0.115018761731914
14,2.03953462639196,0.0781351311581914
15,2.03889630566992,0.0880518618186365
16,2.03619223099081,0.0885960019217214
17,2.05174649012762,0.0637152592139043
18,2.07141100788503,0.0576629796719765
19,2.07704672188249,0.0446657951609089
20,2.08404766170759,0.0364449604849144
21,2.08988064676885,0.0251530945877963
22,2.09825710338092,0
