"n","Simpson_mean","Simpson_sd"
1,0.660074128271052,0.235049499009369
2,0.651876902608423,0.151778473541403
3,0.706139630462949,0.133635400215238
4,0.72888524949137,0.119056064247008
5,0.767810161940516,0.0741088050136717
6,0.77919036425888,0.0768948404766139
7,0.787571926778652,0.0606671193648432
8,0.805868460225278,0.0501341740576509
9,0.810675809036777,0.0475453261442983
10,0.81521427969695,0.0413396679447278
11,0.826164378305266,0.0304946599384166
12,0.826167969219535,0.0375702351480082
13,0.829220406034222,0.0324478748482188
14,0.840178450237105,0.0185594884675298
15,0.839499628278683,0.0213176918736614
16,0.839137078150873,0.0210516483772656
17,0.841394294363551,0.0141651724112512
18,0.84614952057887,0.0135105552956774
19,0.847541722189478,0.00976839657987888
20,0.848632336938671,0.00845310570542384
21,0.850002584674974,0.00517981403013834
22,0.851386843164037,0
