"n","Simpson_mean","Simpson_sd"
1,0.520733752325954,0.261731622889887
2,0.603801593881524,0.131153815101313
3,0.66515986643785,0.125887612863675
4,0.654265288783185,0.130390774919646
5,0.659571056800508,0.124547151211066
6,0.628582779899454,0.109662531649791
7,0.659917568428582,0.0974140735127761
8,0.656348389394289,0.0885026851253514
9,0.676715849220062,0.0728082772477178
10,0.683506311157897,0.0637596486414252
11,0.688288960445538,0.0573164229871821
12,0.710609245505482,0.0386637481223026
13,0.71399767881877,0.034600780653414
14,0.733758473129373,0
