"n","Shannon_mean","Shannon_sd"
1,0.836524784297568,0.400357052109828
2,1.12921889769865,0.314798861697989
3,1.27302185434522,0.266645039286509
4,1.3103129291241,0.250122532224613
5,1.36072859212572,0.229597746778847
6,1.38124559912354,0.222482958220354
7,1.38726121685807,0.222678333144733
8,1.38247365095469,0.214575568451943
9,1.36860392453409,0.199086901233495
10,1.34046337487091,0.184864484619814
11,1.29210521683942,0.131947850134989
12,1.30728117439381,0.121479461576593
13,1.28775730627643,0.0844106569859305
14,1.27826331303588,0
