"n","Simpson_mean","Simpson_sd"
1,0.458898399393474,0.21644840099084
2,0.569377625111682,0.156946155438758
3,0.616883914107098,0.118194398427523
4,0.633041592023081,0.0954221363248378
5,0.647167134168121,0.0783148717505629
6,0.655312809119513,0.0707330729093012
7,0.658023211721006,0.0694662216719041
8,0.65993007777265,0.0629615128002353
9,0.656259357621394,0.057549161750722
10,0.649649211146876,0.0542654063311827
11,0.636162814238291,0.0403633060241384
12,0.642164058230092,0.0384781913274746
13,0.636075562413469,0.0271323675184741
14,0.632809429784624,0
