"sample","length"
"CT2",11.444
"CT2",13.939
"CT2",14.824
"CT2",15.02
"CT2",15.628
"CT2",17.36
"CT2",22.65
"CT2",23.04
"CT2",24.959
"CT2",25.196
"CT2",26.914
"CT2",27.68
"CT2",28.833
"CT2",34.97
"CT2",44.9
"CT2",51.934
"CT2",53.11
"CT2",97.412
"CT2",99.01
"CT2",105.188
"CT2",156.492
"CT2",340.612
"CT2",497.402
"CT1",9.265
"CT1",9.323
"CT1",10.646
"CT1",11.017
"CT1",11.085
"CT1",11.127
"CT1",11.295
"CT1",11.301
"CT1",11.465
"CT1",11.475
"CT1",12.172
"CT1",12.284
"CT1",12.284
"CT1",12.374
"CT1",12.718
"CT1",12.818
"CT1",12.818
"CT1",13.103
"CT1",13.408
"CT1",13.764
"CT1",13.898
"CT1",13.922
"CT1",14.273
"CT1",14.741
"CT1",15.02
"CT1",15.039
"CT1",15.054
"CT1",15.083
"CT1",15.218
"CT1",15.415
"CT1",15.646
"CT1",16.379
"CT1",16.448
"CT1",16.793
"CT1",17.198
"CT1",17.548
"CT1",17.65
"CT1",17.992
"CT1",18.017
"CT1",18.355
"CT1",18.836
"CT1",18.852
"CT1",18.915
"CT1",18.999
"CT1",19.171
"CT1",19.275
"CT1",20.226
"CT1",20.473
"CT1",21.35
"CT1",21.965
"CT1",21.97
"CT1",22.362
"CT1",22.912
"CT1",24.038
"CT1",24.253
"CT1",24.404
"CT1",24.421
"CT1",24.845
"CT1",26.039
"CT1",26.638
"CT1",27.71
"CT1",27.888
"CT1",29.03
"CT1",29.672
"CT1",29.809
"CT1",30.301
"CT1",30.879
"CT1",31.863
"CT1",32.921
"CT1",33.454
"CT1",33.792
"CT1",34.395
"CT1",34.395
"CT1",36.176
"CT1",37.671
"CT1",39.591
"CT1",41.244
"CT1",44.459
"CT1",46.246
"CT1",49.169
"CT1",50.028
"CT1",53.166
"CT1",79.041
"CT1",90.054
"CT1",425.438
