"sample","width"
"CT2",3.231
"CT2",6.08
"CT2",4.054
"CT2",2.797
"CT2",4.483
"CT2",3.001
"CT2",6.106
"CT2",6.157
"CT2",9.955
"CT2",6.139
"CT2",8.897
"CT2",23.422
"CT2",24.636
"CT2",3.63
"CT2",12.755
"CT2",17.275
"CT2",34.164
"CT2",21.871
"CT2",59.209
"CT2",17.005
"CT2",17.996
"CT2",66.097
"CT2",123.997
"CT1",3.474
"CT1",5.438
"CT1",9.827
"CT1",7.858
"CT1",6.733
"CT1",6.395
"CT1",3.844
"CT1",8.353
"CT1",2.457
"CT1",8.149
"CT1",11.395
"CT1",11.465
"CT1",9.008
"CT1",2.387
"CT1",3.196
"CT1",5.127
"CT1",6.959
"CT1",9.827
"CT1",5.688
"CT1",9.831
"CT1",12.161
"CT1",8.189
"CT1",5.807
"CT1",10.646
"CT1",10.1
"CT1",4.132
"CT1",6.652
"CT1",1.724
"CT1",8.631
"CT1",5.347
"CT1",7.171
"CT1",8.189
"CT1",12.282
"CT1",11.002
"CT1",13.103
"CT1",11.699
"CT1",9.336
"CT1",14.052
"CT1",13.922
"CT1",9.099
"CT1",16.379
"CT1",6.133
"CT1",12.526
"CT1",9.008
"CT1",4.903
"CT1",17.41
"CT1",18.577
"CT1",13.103
"CT1",5.678
"CT1",21.008
"CT1",7.781
"CT1",12.648
"CT1",5.703
"CT1",21.774
"CT1",14.741
"CT1",6.5
"CT1",8.267
"CT1",13.425
"CT1",14.052
"CT1",11.697
"CT1",17.351
"CT1",17.642
"CT1",16.64
"CT1",17.138
"CT1",13.267
"CT1",27.844
"CT1",7.72
"CT1",16.115
"CT1",16.706
"CT1",23.195
"CT1",3.831
"CT1",18.017
"CT1",21.292
"CT1",22.451
"CT1",25.387
"CT1",26.439
"CT1",19.185
"CT1",31.239
"CT1",16.73
"CT1",37.331
"CT1",24.792
"CT1",13.876
"CT1",11.893
"CT1",23.232
"CT1",91.087
