"source","length"
"blood",8.74
"blood",9.66
"blood",26.82
"blood",13.84
"blood",6.82
"blood",12.27
"blood",19.71
"blood",8.26
"blood",4.72
"blood",6.82
"blood",15.58
"blood",10.71
"blood",4.31
"blood",6.53
"blood",6.82
"blood",3.44
"blood",17.03
"blood",11.71
"blood",3.5
"blood",5.95
"blood",11.44
"blood",11.32
"blood",4.98
"blood",9.21
"blood",3.46
"blood",21.52
"blood",7.87
"blood",4.15
"blood",2.93
"blood",27.86
"blood",3.4
"blood",3.46
"blood",2.77
"blood",6.92
"blood",2.93
"blood",9.78
"blood",26.41
"blood",10.06
"blood",3.4
"blood",11.15
"blood",6.23
"blood",4.82
"blood",12.54
"blood",31.06
"blood",16.36
"blood",4.78
"blood",3.45
"blood",6.96
"blood",28.68
"blood",10.51
"blood",7.72
"blood",5.89
"blood",18.98
"blood",5.79
"blood",32.34
"blood",8.68
"blood",20.26
"blood",5.18
"blood",4.09
"blood",10.23
"blood",4.75
"blood",3.66
"blood",4.68
"blood",3.45
"blood",2.73
"blood",8.66
"blood",10.65
"blood",11.63
"blood",13.44
"blood",6.16
"blood",9.97
"blood",5.12
"blood",4.69
"blood",7.74
"blood",7.52
"blood",5.19
"blood",16.37
"blood",9.68
"blood",10.95
"blood",16.88
"blood",5.81
"blood",15.48
"blood",4.79
"blood",32.68
"blood",14.93
"blood",15.41
"blood",7.74
"blood",6.84
"blood",3.46
"blood",7.74
"blood",14.37
"blood",3.42
"blood",30.54
"blood",11.86
"blood",8.46
"blood",9.18
"blood",5.81
"blood",9.24
"blood",8.66
"blood",9.58
"blood",9.11
"blood",13
"blood",5.81
"blood",16.62
"blood",6.84
"blood",13.69
"blood",8.21
"blood",8.71
"blood",11.54
"blood",10.26
"blood",5.47
"blood",10.64
"blood",16.73
"blood",9.68
"blood",9.58
"blood",16.17
"blood",6.06
"blood",13
"blood",5.47
"blood",14.38
"blood",21.64
"blood",43.43
"blood",21.29
"blood",5.37
"blood",4.76
"blood",6.97
"blood",10.64
"blood",12.82
"blood",5.47
"blood",14.37
"blood",11.68
"blood",5.63
"blood",2.74
"blood",5.81
"blood",14.02
