"source","width"
"blood",4.72
"blood",8.34
"blood",25.39
"blood",11.67
"blood",4.87
"blood",10.13
"blood",10.78
"blood",3.44
"blood",2.83
"blood",6.82
"blood",12.66
"blood",6.82
"blood",2.46
"blood",3.05
"blood",3.9
"blood",2.76
"blood",10.34
"blood",10.33
"blood",2.62
"blood",4.41
"blood",9.59
"blood",5.18
"blood",4.51
"blood",2.62
"blood",2.08
"blood",14.67
"blood",3.06
"blood",2.77
"blood",2.93
"blood",25.44
"blood",2.47
"blood",3.46
"blood",2.77
"blood",2.08
"blood",2.93
"blood",6.85
"blood",13.69
"blood",1.31
"blood",2.47
"blood",1.57
"blood",1.38
"blood",3.86
"blood",6.75
"blood",9.49
"blood",8.52
"blood",3.41
"blood",1.73
"blood",0.8
"blood",16.5
"blood",10.37
"blood",3.86
"blood",4.55
"blood",14.67
"blood",4.82
"blood",12.06
"blood",6.75
"blood",15.44
"blood",3.45
"blood",4.09
"blood",4.78
"blood",0.86
"blood",2.14
"blood",3.74
"blood",2.59
"blood",2.73
"blood",2.89
"blood",5.78
"blood",5.2
"blood",7.32
"blood",2.05
"blood",3.96
"blood",2.28
"blood",3.99
"blood",6.77
"blood",7.25
"blood",3.9
"blood",9.93
"blood",5.81
"blood",8.21
"blood",16.01
"blood",4.84
"blood",14.52
"blood",1.37
"blood",13.44
"blood",9.24
"blood",11.25
"blood",5.81
"blood",5.47
"blood",3.03
"blood",6.77
"blood",4.79
"blood",2.05
"blood",9.34
"blood",7.55
"blood",4.38
"blood",5.51
"blood",4.84
"blood",4.08
"blood",5.19
"blood",6.84
"blood",4.56
"blood",10.95
"blood",4.84
"blood",13.52
"blood",4.79
"blood",13
"blood",8.21
"blood",6.77
"blood",5.64
"blood",8.21
"blood",4.79
"blood",8.71
"blood",14.62
"blood",8.71
"blood",7.53
"blood",8.16
"blood",5.63
"blood",8.9
"blood",3.42
"blood",3.37
"blood",9.52
"blood",32.92
"blood",20.32
"blood",2.68
"blood",3.03
"blood",1.74
"blood",6.77
"blood",4.38
"blood",4.11
"blood",6.84
"blood",8.66
"blood",1.3
"blood",1.37
"blood",3.87
"blood",12.88
"blood",8.55
"blood",4.79
"blood",4.27
"blood",5.81
"blood",2.75
"blood",6.77
"blood",7.74
"blood",3.87
"blood",8.86
"blood",2.9
"blood",12.58
"blood",3.87
"blood",1.92
"blood",5.81
"blood",3.87
"blood",8.87
"blood",9.11
"blood",6.77
"blood",12.58
"blood",8.71
"blood",2.05
"blood",8.71
"blood",2.16
"blood",2.02
"blood",5.47
"blood",30.98
"blood",6
"blood",4.84
"blood",9.68
"blood",2.49
"blood",6.65
"blood",1.61
"blood",4.29
"blood",3.87
"blood",4.79
"blood",9.68
"blood",6.77
"blood",5.51
"blood",5.97
"blood",8.21
"blood",5.81
"blood",5.81
"blood",6.77
"blood",2.49
"blood",12.91
"blood",5.81
"blood",2.9
"blood",3.52
"blood",4.33
"blood",4.49
"blood",9.66
"blood",8.3
"blood",1.74
"blood",10.64
"blood",6.84
"blood",10.05
"blood",3.22
"blood",2.9
"blood",1.88
"blood",2.9
"blood",9.68
"blood",8.71
"blood",10.12
"blood",7.53
"blood",4.84
"blood",10.92
"blood",17.44
"blood",5.01
"blood",3.58
"blood",19.25
"blood",5.01
"blood",3.04
"blood",3.84
"blood",3.04
"blood",3.97
"blood",1.05
"blood",2.33
"blood",1.65
"blood",6.76
"blood",1.85
"blood",10.35
"blood",8.13
"blood",10.22
"blood",2.96
"blood",18.93
"blood",1.65
"blood",1.19
"blood",2.96
"blood",2.22
"blood",4.7
"blood",7.66
"blood",1.98
"blood",5.17
"blood",2.22
"blood",2.22
"blood",1.85
"blood",4.35
"blood",6.74
"blood",3.42
"blood",1.23
"blood",12.16
"blood",11.99
"blood",3.7
"blood",2.47
"blood",5.31
"blood",5.02
"blood",11.43
"blood",2.61
"blood",3.14
"blood",2.96
"blood",2.09
"blood",6.4
"blood",4.63
"blood",2.96
"blood",1.32
"blood",2.96
"blood",2.05
"blood",3.7
"blood",6.98
"blood",8.26
"blood",28.83
"blood",15.59
"blood",1.87
"blood",8.89
"blood",3.55
"blood",7.39
"blood",9.36
"blood",2.22
"blood",1.57
"blood",12.36
"blood",1.56
"blood",14.17
"blood",2.61
"blood",3.05
"blood",7.84
"blood",1.4
"blood",3.95
"blood",3.95
"blood",5.93
"blood",9.44
"blood",7.12
"blood",2.97
"blood",2.1
"blood",2.8
"blood",27.17
"blood",9.11
"blood",6.67
"blood",4.52
"blood",9.93
"blood",8.31
"blood",3.3
"blood",9.43
"blood",28.24
"blood",8.63
"blood",3.2
"blood",3.56
"blood",7.36
"blood",14.28
"blood",14.96
"blood",3.47
"blood",4.09
"blood",3.27
"blood",11.17
"blood",16.99
"blood",4.62
"blood",5.72
"blood",3.27
"blood",1.83
"blood",4.09
"blood",11.43
"blood",1.73
"blood",3.27
"blood",7.36
"blood",21.08
"blood",30.32
"blood",5.72
"blood",2.19
"blood",23.32
"blood",6.58
"blood",6.82
"blood",1.81
"blood",12.23
"blood",11.44
"blood",3.27
"blood",5.48
"blood",3.17
"blood",21.96
"blood",15.01
"blood",11.38
"blood",6.03
"blood",11.56
"blood",3.17
"blood",28.52
"blood",3.29
"blood",2.04
"blood",5.85
"blood",4.65
"blood",3.71
"blood",4.53
"blood",7.68
"blood",2.45
"blood",55.02
"blood",2.89
"blood",19.67
"blood",2.04
"blood",10.46
"blood",15.49
"blood",22.33
"blood",32.82
"blood",10.63
"blood",59.21
"blood",6.45
"blood",6.94
"blood",21
"blood",7.93
"blood",1.91
"blood",10.41
"blood",16.48
"blood",18.41
"blood",12.79
"blood",45.65
"blood",4.75
"blood",9.53
"blood",18.92
"blood",6.58
"blood",2.31
"blood",3.27
"blood",3.63
"blood",21.63
"blood",5.56
"blood",2.45
"blood",3.57
"blood",12.69
"blood",7.37
"blood",2.45
"blood",6.54
"blood",23.74
"blood",2.45
"blood",2.36
"blood",3.47
"blood",4.9
"blood",4.39
"blood",2.58
"blood",54.48
"blood",8.73
"blood",16.08
"blood",1.83
"blood",8.99
"blood",18.1
"blood",13.08
"blood",13.3
"blood",18.01
"blood",6.36
"blood",17.37
"blood",3.66
"blood",11.55
"blood",30.16
"blood",3.11
"blood",30.04
"blood",8.73
"blood",3.11
