"polymer","sample","count"
"ABS","CT1",2
"ABS","CT2",0
"Cellulose","CT1",0
"Cellulose","CT2",0
"Other","CT1",42
"Other","CT2",13
"PET","CT1",0
"PET","CT2",0
"Polyamide","CT1",2
"Polyamide","CT2",1
"Polyester","CT1",4
"Polyester","CT2",1
"Polyethylene","CT1",0
"Polyethylene","CT2",0
"Polypropylene","CT1",5
"Polypropylene","CT2",1
"Polystyrene","CT1",1
"Polystyrene","CT2",0
"PVC","CT1",3
"PVC","CT2",2
"Rubber","CT1",0
"Rubber","CT2",0
"Silicon","CT1",24
"Silicon","CT2",4
"Teflon","CT1",2
"Teflon","CT2",1
