"binomial","ID","mean_HFI","max_HFI","mean_dist_development","min_dist_development","mean_dist_waste","Agriculture","Forestry","Native_forest","Pasture","Water","Development"
"Myrmecophaga_tridactyla","Alvinho_Alvaro",7.1554244962763,17.432,8400.68719380702,7672.79419864079,38198.1192113847," 0.76"," 0.00"," 2.42","96.71"," 0.11","0"
"Myrmecophaga_tridactyla","Annie",16.4612830397839,21.128,1512.91964325505,379.909206545308,68270.3193540789,"80.48"," 0.00"," 0.78","17.70"," 1.04"," 0.00"
"Myrmecophaga_tridactyla","Berta",11.3999427095233,21.128,1925.35972132573,572.763058183973,68471.5806696243," 5.18"," 0.05"," 5.36","87.13"," 2.27"," 0.00"
"Myrmecophaga_tridactyla","Dan",8.41972736155453,17.036,3531.7460179612,2064.65942810614,61017.2358639674," 0.03","17.06"," 0.01","82.90"," 0.00","0"
"Myrmecophaga_tridactyla","Fellippi",9.5048241684535,17.042,4044.07795474475,2642.31364337992,62739.2190551876," 0.23"," 0.00"," 0.19","99.58","0","0"
"Myrmecophaga_tridactyla","Fernanda",7.8457785903189,17.053,3512.36536041468,2402.24697259379,61718.6496444518," 0.04"," 0.33"," 0.08","99.55"," 0.00"," 0.00"
"Myrmecophaga_tridactyla","Hannah",8.29906372099343,17.053,2937.84640797204,1628.97493685585,60993.0494770644," 0.67","16.63"," 0.02","82.68"," 0.00"," 0.00"
"Myrmecophaga_tridactyla","Joao",8.69037086221415,16.988,3699.29012587294,2245.82459032373,61071.4413475392," 0.29","12.30"," 0.01","87.41"," 0.00","0"
"Myrmecophaga_tridactyla","Juliana",8.73276984683591,25.908,4121.70449388245,0,37827.0409324277," 9.24"," 0.67","11.97","76.75"," 1.35"," 0.02"
"Myrmecophaga_tridactyla","Kiko",11.5435170693374,16.892,4519.18522767905,3865.29339600658,62882.6693660166," 3.43"," 0.07"," 0.02","96.49","0","0"
"Myrmecophaga_tridactyla","Majo",8.74322794673263,16.977,2881.58327647813,2081.84705133457,61720.8268849293," 0.25"," 0.00"," 0.44","99.30","0","0"
"Myrmecophaga_tridactyla","Mogli",13.3272976926967,21.128,1799.68844743271,0,67447.2291170426,"11.23"," 2.33","10.07","71.64"," 4.72"," 0.01"
"Myrmecophaga_tridactyla","Nobilis",8.53957132062023,16.042,3479.38857962661,2095.3635458306,60345.3016083168," 0.15","41.50"," 0.07","58.28"," 0.00","0"
"Myrmecophaga_tridactyla","Sheron",10.0010512215577,17.053,4383.69743501271,2972.00824076946,62783.8076490676," 1.08"," 0.41"," 0.09","98.41"," 0.00","0"
"Myrmecophaga_tridactyla","Spatzle",13.6724502799293,16.961,5811.47612437767,4520.3604240213,63272.7052203754," 5.37","54.33"," 0.19","40.09"," 0.02","0"
"Myrmecophaga_tridactyla","Thomas",12.112782658672,21.128,1769.96718545849,81.5985465667227,68216.5836953462," 4.06"," 0.12"," 3.24","89.45"," 3.13"," 0.00"
"Myrmecophaga_tridactyla","Tsuru",8.03953350366545,10.795,2905.88510143021,2054.58846127812,61331.02186966," 0.00"," 0.38"," 0.00","99.62","0","0"
"Myrmecophaga_tridactyla","Ty",12.0295123095609,17.053,4695.31818667677,3648.83819507307,63168.9316733741," 6.00"," 2.79"," 0.28","90.91"," 0.01","0"
"Myrmecophaga_tridactyla","Wal",3.8352719678087,12.668,2723.96841894854,1153.31414824292,57507.0597219737," 0.00","0"," 0.04","99.96"," 0.00","0"
"Myrmecophaga_tridactyla","Yorgan",8.93480563941431,17.154,4355.52399329508,2471.67469223392,61593.5300901742," 0.97","10.44"," 0.03","88.43"," 0.12"," 0.00"
