binomial,ID,Year,Lat,Long,Frequency,Duration,n,n_area,tau_p,tau_p_min,tau_p_max,tau_p_var,tau_v,tau_v_min,tau_v_max,tau_v_var,sigma,l_v,diffusion,diffusion_min,diffusion_max,hr,hr_min,hr_max
Myrmecophaga_tridactyla,Alvinho_Alvaro,2023,-20.860491,-52.026461,80.01666667,254.9444097,3729,211.6158571,87473.90854,74338.54191,102930.2496,48641152.98,2903.563725,2307.486464,3653.621563,103477.3981,163936.6485,73.76739393,3.407583058,3.140473288,3.685439176,2155035.436,1874443.563,2454911.814
Myrmecophaga_tridactyla,Annie,2019,-21.633711,-53.496313,40.28333333,1085.722234,37159,1983.370226,44564.70916,42491.63917,46738.9195,1145287.556,1110.119806,1082.410509,1138.538451,202.3778859,161459.2164,63.41920704,6.632426149,6.519767481,6.746036463,2453239.607,2346450.089,2562372.116
Myrmecophaga_tridactyla,Berta,2022,-21.6234825,-53.515275,80,777.0554167,13184,373.2966828,160833.7559,141309.2387,183055.9509,105739552.2,7400.708018,6216.69497,8810.224635,397453.9654,565288.4213,161.2809519,6.059389222,5.651031784,6.481789966,7832083.286,7057630.08,8646272.985
Myrmecophaga_tridactyla,Dan,2022,-21.6583925,-53.6035935,79.76666667,1079.972188,20404,866.6339569,107119.8102,99943.30931,114811.6248,13872032.91,NA,NA,NA,NA,432585.714,NA,8.364515144,8.237217578,8.492775284,6008266.692,5614855.215,6414810.069
Myrmecophaga_tridactyla,Fellippi,2022,-21.643541,-53.600648,80,434.2224074,7489,476.2475317,47660.0452,37698.58106,60253.72426,28964823.98,13959.90851,10280.35778,18956.44585,4090273.882,145798.0777,206.6521653,3.704728116,3.408194275,4.013454666,2098653.788,1914378.488,2291275.362
Myrmecophaga_tridactyla,Fernanda,2021,-21.654027,-53.601955,60.88333333,1584.208715,31317,3274.869565,38646.35059,37157.47165,40194.88806,588333.6973,1333.427912,1286.206647,1382.38284,590.8674911,220371.0262,87.19825084,10.15713761,9.988427447,10.32724109,3401907.892,3286382.087,3519401.444
Myrmecophaga_tridactyla,Hannah,2019,-21.660034,-53.598404,59.96666667,1875.999954,53208,1979.074368,80306.51196,76686.54894,84097.35413,3489575.197,628.4484368,612.0905252,645.2435081,70.56706801,293304.9822,47.90922699,7.085168174,6.997997326,7.172871123,3770064.46,3605777.511,3937959.862
Myrmecophaga_tridactyla,Joao,2022,-21.6584715,-53.6056365,80,700.7775579,12138,464.7714727,124727.1645,113126.5162,137517.4104,36753144.58,1028.468853,941.3361288,1123.666828,2064.235439,399686.6468,57.40832382,6.205366052,6.033959434,6.379139831,5440542.974,4957103.032,5946153.935
Myrmecophaga_tridactyla,Juliana,2021,-21.98716,-53.105252,60.11666667,527.5552662,9968,9.262181322,4005077.68,1853469.566,8654389.321,1.73681E+12,1452.678539,1377.18519,1532.310216,1523.094375,26069777.42,97.24067166,12.986102,12.54993711,13.42961328,356961827.3,165412344.3,620928395.3
Myrmecophaga_tridactyla,Kiko,2022,-21.64211,-53.605208,80.01666667,232.2777894,3659,244.2057978,23917.42515,21411.114,26717.11644,1726539.408,NA,NA,NA,NA,53417.31124,NA,1.65524059,1.464379278,1.857623776,918268.4895,806700.1788,1036957.714
