sample,species,age_class,age,weight,sex,name,date,biome,mp_ml,mp_weight,mp_ug_ml
B17,Myrmecophaga_tridactyla,Cub,,7.6,female,Wal,21.06.21,Cerrado,0,0,0
B18,Myrmecophaga_tridactyla,Adult,,27.9,male,Yorgan,21.06.21,Cerrado,0,0,0
B19,Myrmecophaga_tridactyla,Young,,25,male,Fellippi,26.07.22,Cerrado,10,0.000467678,0.000584598
B20,Myrmecophaga_tridactyla,Cub,,6.94,male,Tsuru,25.11.21,Cerrado,10,0.002079,0.00259875
B21,Myrmecophaga_tridactyla,Young,,20,male,Kiko,20.06.22,Cerrado,16.25,0.16,0.2
B22,Myrmecophaga_tridactyla,Cub,,12.2,female,Majo,25.07.22,Cerrado,121.25,0.603756,0.754695
B23,Myrmecophaga_tridactyla,Cub,,9.5,male,Alvinho_Alvaro,10.26.22,Cerrado,65,0.82516,1.03145
B24,Myrmecophaga_tridactyla,Adult,,35,female,Berta,30.09.21,Cerrado,10,0.15539,0.1942375
B25,Priodontes_maximus,Adult,,29.7,female,Laura,19.11.21,Pantanal,6.25,0.015106,0.0188825
B26,Priodontes_maximus,Adult,,23.2,female,Laura,16.07.22,Pantanal,11.25,0.2998,0.37475
B27,Priodontes_maximus,Young,,29.7,female,Sara,18.12.21,Pantanal,1.25,1.79E-05,0.000022375
B28,Priodontes_maximus,Adult,,36.6,female,Stacy,26.05.22,Pantanal,35,0.0137698,0.01721225
B29,Priodontes_maximus,Adult,,36.6,female,Stacy,27.09.21,Pantanal,5,0.000310939,0.000388674
B31,Tapirus_terrestris,Adult,11,195,male,Farofo,16.11.21,Pantanal,2.5,0.00029199,0.000364988
B32,Tapirus_terrestris,Young,,,female,Marave-Caiman,21.12.22,Pantanal,2.5,3.72E-05,0.0000465
B33,Tapirus_terrestris,Adult,,,male,Yutike-Caiman,21.12.22,Pantanal,52.5,0.0219752,0.027469
B34,Tapirus_terrestris,Adult,9,195,female,Wie,21.12.22,Pantanal,0,0,0
B35,Tapirus_terrestris,Adult,5,165,female,Gilia,24.06.22,Pantanal,6.25,0.000251934,0.000314918
B36,Tapirus_terrestris,Adult,6,165,female,Carminha,24.06.22,Pantanal,23.75,0.009001207,0.011251509
B37,Tapirus_terrestris,Adult,8,165,male,Aaron,26.06.22,Pantanal,286.25,0.0568,0.071
B38,Tapirus_terrestris,Adult,4,165,female,Ariel,27.06.22,Pantanal,3.75,0.02456515,0.030706438
B39,Tapirus_terrestris,Adult,13,190,male,William,29.06.22,Pantanal,5,0.015475817,0.019344771
B40,Tapirus_terrestris,Young,3.4,190,male,Rupert,30.06.22,Pantanal,1.25,6.52E-05,0.0000815
B41,Tapirus_terrestris,Young,2.5,125,male,Macarrao,04.07.22,Pantanal,513.75,0.121,0.15125
B42,Tapirus_terrestris,Adult,8,190,male,Durodematar,18.07.22,Cerrado,58.75,0.005460793,0.006825991
B43,Tapirus_terrestris,Adult,7,210,female,Sasha,14.10.22,Amazon,11.25,0.001748509,0.002185636
B44,Tapirus_terrestris,Adult,9,220,female,Manga,18.10.22,Amazon,11.25,0.002346228,0.002932785
B45,Tapirus_terrestris,Adult,8,200,male,Luigi,19.10.22,Amazon,5,0.000917759,0.001147199
B46,Tapirus_terrestris,Adult,15.5,190,male,Leo,22.10.22,Amazon,3.75,0.00541,0.0067625
B47,Tapirus_terrestris,Adult,8,180,male,Zetrovao,25.10.22,Amazon,125,0.049290063,0.061612579
B48,Tapirus_terrestris,Adult,8,230,female,Pamonha,11.08.22,Amazon,55,0.057698578,0.072123223
B49,Tapirus_terrestris,Young,2.4,190,male,Dudu,13.08.22,Amazon,1211.25,0.315,0.39375
B50,Tapirus_terrestris,Adult,8,200,male,Jilo,14.08.22,Amazon,23.75,0.016230558,0.020288198
B51,Tapirus_terrestris,Adult,4,200,male,Kibou,16.08.22,Amazon,18.75,0.001627531,0.002034414
B52,Tapirus_terrestris,Adult,4,230,female,Berinjela,19.08.22,Amazon,35,0.098008041,0.122510051
B53,Tapirus_terrestris,Adult,4,210,female,Fernanda,20.08.22,Amazon,91.25,0.026884651,0.033605814
B54,Tapirus_terrestris,Adult,7,190,male,Darro,21.08.22,Amazon,7.5,0.001778905,0.002223631
B55,Tapirus_terrestris,Adult,8,220,female,Querencia,22.08.22,Amazon,1.25,2.55E-05,0.000031875
B56,Tapirus_terrestris,Adult,18,200,female,Krishna,28.09.22,Amazon,15,0.002226082,0.002782603
B1,Myrmecophaga_tridactyla,Adult,,32.6,female,Hannah,05.12.21,Cerrado,22.5,0.0107,0.013375
B2,Myrmecophaga_tridactyla,Adult,,38.2,female,Annie,5.14.2021,Cerrado,76.25,0.0311,0.038875
B3,Myrmecophaga_tridactyla,Adult,,45.3,male,Thomas,05.13.2021,Cerrado,68.75,0.0772,0.0965
B4,Myrmecophaga_tridactyla,Adult,,37.8,female,Sheron,5.13.2021,Cerrado,0,0,0
B5,Myrmecophaga_tridactyla,Adult,,31,female,Fernanda,05.10.21,Cerrado,20,0.0139,0.017375
B6,Myrmecophaga_tridactyla,Adult,,34,male,Joao,16.06.21,Cerrado,28.75,0.0058,0.00725
B7,Myrmecophaga_tridactyla,Adult,,27.5,female,Juliana,24.11.21,Cerrado,122.5,0.164,0.205
B8,Myrmecophaga_tridactyla,Adult,,33.5,male,Dan,09.03.21,Cerrado,100,0.0127,0.015875
B9,Myrmecophaga_tridactyla,Young,,25,male,Ty,17.06.21,Cerrado,5,0.00437,0.0054625
B11,Myrmecophaga_tridactyla,Young,,27.2,male,Mogli,05.11.21,Cerrado,28.75,0.0138,0.01725
B13,Myrmecophaga_tridactyla,Adult,,33,male,George,17.06.21,Cerrado,30,0.0154,0.01925
B14,Myrmecophaga_tridactyla,Adult,,30.2,female,Spatzle,18.06.21,Cerrado,2.5,0.0000947,0.000118375
B16,Myrmecophaga_tridactyla,Adult,,34.6,female,Nobilis,20.06.21,Cerrado,161.25,0.0802,0.10025
