Length,Width,Sample,,,,
10.4,3.467,CT1,,,,
10.646,10.646,CT1,,,,
10.797,3.65,CT1,,,,
11.444,3.231,CT1,,,,
11.465,8.189,CT1,,,,
11.465,6.552,CT1,,,,
11.582,11.002,CT1,,,,
11.708,8.116,CT1,,,,
12.09,8.988,CT1,,,,
12.386,2.526,CT1,,,,
12.392,8.736,CT1,,,,
13.103,8.189,CT1,,,,
13.435,6.949,CT1,,,,
13.758,12.775,CT1,,,,
13.922,4.914,CT1,,,,
13.939,6.08,CT1,,,,
14.309,10.448,CT1,,,,
14.466,3.09,CT1,,,,
14.741,9.827,CT1,,,,
14.824,4.054,CT1,,,,
15.02,2.797,CT1,,,,
15.628,4.483,CT1,,,,
15.635,8.686,CT1,,,,
15.646,10.276,CT1,,,,
15.974,14.736,CT1,,,,
16.294,11.502,CT1,,,,
16.379,15.56,CT1,,,,
17.31,6.813,CT1,,,,
17.36,3.001,CT1,,,,
17.471,10.983,CT1,,,,
17.946,10.987,CT1,,,,
17.951,2.316,CT1,,,,
18.017,6.552,CT1,,,,
18.075,9.335,CT1,,,,
18.472,9.137,CT1,,,,
19.171,5.674,CT1,,,,
19.569,10.816,CT1,,,,
20.165,7.803,CT1,,,,
20.409,14.196,CT1,,,,
20.586,5.512,CT1,,,,
21.05,9.42,CT1,,,,
21.169,9.449,CT1,,,,
21.426,9.265,CT1,,,,
22.278,8.128,CT1,,,,
22.297,9.444,CT1,,,,
22.65,6.106,CT1,,,,
23.04,6.157,CT1,,,,
23.636,12.513,CT1,,,,
24.568,20.146,CT1,,,,
24.959,9.955,CT1,,,,
25.086,13.322,CT1,,,,
25.196,6.139,CT1,,,,
26.098,6.074,CT1,,,,
26.34,6.971,CT1,,,,
26.914,8.897,CT1,,,,
27.68,23.422,CT1,,,,
28.255,8.065,CT1,,,,
28.426,19.824,CT1,,,,
28.753,9.162,CT1,,,,
28.833,24.636,CT1,,,,
30.191,11.539,CT1,,,,
34.97,3.63,CT1,,,,
35.247,21.851,CT1,,,,
35.268,11.001,CT1,,,,
36.211,12.097,CT1,,,,
36.62,11.04,CT1,,,,
38.113,4.27,CT1,,,,
41.131,30.737,CT1,,,,
41.567,10.291,CT1,,,,
42.867,19.97,CT1,,,,
42.938,41.529,CT1,,,,
44.754,13.334,CT1,,,,
44.9,12.755,CT1,,,,
51.934,17.275,CT1,,,,
52.015,10.006,CT1,,,,
53.11,34.164,CT1,,,,
54.088,6.77,CT1,,,,
54.228,11.995,CT1,,,,
58.627,17.843,CT1,,,,
61.698,14.764,CT1,,,,
63.905,24.579,CT1,,,,
97.412,21.871,CT1,,,,
