Length,Width,Sample,Polymer
11.444,3.231,CT2,POLYVINYL CHLORIDE
13.939,6.08,CT2,POLYESTER
14.824,4.054,CT2,Silicon
15.02,2.797,CT2,POLYPROPYLENE 
15.628,4.483,CT2,Other
17.36,3.001,CT2,Other
22.65,6.106,CT2,Other
23.04,6.157,CT2,Other
24.959,9.955,CT2,Other
25.196,6.139,CT2,PA
26.914,8.897,CT2,TEFLON
27.68,23.422,CT2,Other
28.833,24.636,CT2,Other
34.97,3.63,CT2,Other
44.9,12.755,CT2,Other
51.934,17.275,CT2,Other
53.11,34.164,CT2,Other
97.412,21.871,CT2,POLYVINYL CHLORIDE
99.01,59.209,CT2,Other
105.188,17.005,CT2,Other
156.492,17.996,CT2,Silicon
340.612,66.097,CT2,Silicon
497.402,123.997,CT2,Silicon
9.265,3.474,CT1,POLYPROPYLENE 
9.323,5.438,CT1,POLYPROPYLENE 
10.646,9.827,CT1,POLYESTER
11.017,7.858,CT1,Silicon
11.085,6.733,CT1,ABS
11.127,6.395,CT1,Silicon
11.295,3.844,CT1,POLYSTYRENE
11.301,8.353,CT1,Silicon
11.465,2.457,CT1,Silicon
11.475,8.149,CT1,Silicon
12.172,11.395,CT1,Silicon
12.284,11.465,CT1,POLYAMIDE
12.284,9.008,CT1,POLYAMIDE
12.374,2.387,CT1,Silicon
12.718,3.196,CT1,Other
12.818,5.127,CT1,ABS
12.818,6.959,CT1,Silicon
13.103,9.827,CT1,Silicon
13.408,5.688,CT1,Other
13.764,9.831,CT1,Silicon
13.898,12.161,CT1,POLYESTER
13.922,8.189,CT1,Silicon
14.273,5.807,CT1,Silicon
14.741,10.646,CT1,Other
15.02,10.1,CT1,Other
15.039,4.132,CT1,Other
15.054,6.652,CT1,TEFLON
15.083,1.724,CT1,TEFLON
15.218,8.631,CT1,POLYPROPYLENE 
15.415,5.347,CT1,Other
15.646,7.171,CT1,Other
16.379,8.189,CT1,Silicon
16.448,12.282,CT1,Silicon
16.793,11.002,CT1,Silicon
17.198,13.103,CT1,Other
17.548,11.699,CT1,Other
17.65,9.336,CT1,Other
17.992,14.052,CT1,Other
18.017,13.922,CT1,Other
18.355,9.099,CT1,POLYESTER
18.836,16.379,CT1,Other
18.852,6.133,CT1,Other
18.915,12.526,CT1,POLYPROPYLENE 
18.999,9.008,CT1,Other
19.171,4.903,CT1,Other
19.275,17.41,CT1,Other
20.226,18.577,CT1,Other
20.473,13.103,CT1,Other
21.35,5.678,CT1,Other
21.965,21.008,CT1,Other
21.97,7.781,CT1,Other
22.362,12.648,CT1,POLYVINYL CHLORIDE
22.912,5.703,CT1,Other
24.038,21.774,CT1,POLYESTER
24.253,14.741,CT1,Other
24.404,6.5,CT1,Other
24.421,8.267,CT1,POLYPROPYLENE 
24.845,13.425,CT1,Other
26.039,14.052,CT1,Other
26.638,11.697,CT1,Other
27.71,17.351,CT1,Other
27.888,17.642,CT1,Other
29.03,16.64,CT1,Other
29.672,17.138,CT1,Other
29.809,13.267,CT1,Other
30.301,27.844,CT1,POLYVINYL CHLORIDE
30.879,7.72,CT1,Other
31.863,16.115,CT1,Silicon
32.921,16.706,CT1,Silicon
33.454,23.195,CT1,Silicon
33.792,3.831,CT1,Other
34.395,18.017,CT1,Other
34.395,21.292,CT1,POLYVINYL CHLORIDE
36.176,22.451,CT1,Silicon
37.671,25.387,CT1,Other
39.591,26.439,CT1,Other
41.244,19.185,CT1,Silicon
44.459,31.239,CT1,Silicon
46.246,16.73,CT1,Other
49.169,37.331,CT1,Other
50.028,24.792,CT1,Other
53.166,13.876,CT1,Other
79.041,11.893,CT1,Silicon
90.054,23.232,CT1,Silicon
425.438,91.087,CT1,Silicon
