Sample,Material,HQI,Length,Width,Volume,PP_Density,weight
B1,"ALPEX CK-450, CYCLIZED RUBBER",82.33,6.82,4.87,84.26,1.00,0.00
B1,"DUTRAL PMX 9705, COPOLYMER EPDM TYPE",92.89,13.84,11.67,343.31,0.88,0.00
B1,Epichlorohydrin/Ethylene Oxide Copolymer,78.52,17.03,10.34,930.53,1.32,0.00
B1,Epichlorohydrin/Ethylene Oxide Copolymer,75.26,9.66,8.34,69.27,1.32,0.00
B1,Poly(p-phenylene ether-sulphone),82.87,12.27,10.13,578.47,1.37,0.00
B1,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],84.21,3.44,2.76,11.51,1.13,0.00
B1,POLYETHYLENE GLYCOL 400,93.53,26.82,25.39,4433.06,1.13,0.01
B1,POLYETHYLENE GLYCOL 400,83.13,6.53,3.05,11.51,1.13,0.00
B1,POLYOXYETHYLENE(10) OCTYLPHENYL ETHER,83.32,10.71,6.82,134.72,1.08,0.00
B1,POLYOXYETHYLENE(20) SORBITAN MONOOLEATE,82.75,15.58,12.66,554.13,1.10,0.00
B1,POLYOXYETHYLENE(20) SORBITAN MONOPALMITATE,80.26,19.71,10.78,1379.91,1.10,0.00
B1,POLYOXYETHYLENE(20) SORBITAN MONOPALMITATE,82.39,11.71,10.33,554.13,1.10,0.00
B1,POLYOXYETHYLENE(20) SORBITAN MONOPALMITATE,96.32,6.82,6.82,92.11,1.10,0.00
B1,POLYOXYETHYLENE(20) SORBITAN MONOPALMITATE,88.05,8.74,4.72,66.86,1.10,0.00
B1,POLYOXYETHYLENE(20) SORBITAN MONOPALMITATE,96.08,6.82,3.90,34.46,1.10,0.00
B1,POLYOXYETHYLENE(20) SORBITAN MONOPALMITATE,96.23,8.26,3.44,21.97,1.10,0.00
B1,POLYOXYETHYLENE(20) SORBITAN MONOPALMITATE,76.48,4.31,2.46,10.21,1.10,0.00
B1,POLYSORBATE 80 STANDARD,90.07,4.72,2.83,8.96,1.06,0.00
B11,Cellulose Acetate 4. White Fiber,93.42,7.87,3.06,40.89,1.30,0.00
B11,Cellulose Acetate 4. White Fiber,89.21,6.92,2.08,5.63,1.30,0.00
B11,Cellulose Acetate 4. White Fiber,83.78,6.23,1.38,5.63,1.30,0.00
B11,Cellulose Acetate 4. White Fiber,93.14,5.95,4.41,23.95,1.30,0.00
B11,Cellulose Acetate 4. White Fiber,90.84,4.98,4.51,45.05,1.30,0.00
B11,COLOR MASTERBATCH POLY[ETHYLENE-CO-(VINYL ACETATE)] + 45% YELLOW PIGMENT #3,88.94,9.78,6.85,230.43,0.95,0.00
B11,HYPROMELLOSE (4000),76.75,10.06,1.31,5.63,1.39,0.00
B11,"NYLON 6,6",76.25,26.41,13.69,1778.33,1.08,0.00
B11,"NYLON 6,6",76.77,11.15,1.57,17.44,1.08,0.00
B11,"Poly(1,4-butylene Terephthalate)",86.53,11.32,5.18,139.55,0.89,0.00
B11,"Poly(1,4-butylene Terephthalate)",96.54,9.21,2.62,19.01,0.89,0.00
B11,"POLY(ETHYLENE:PROPYLENE:DIENE) (50% ETHYLENE, 4% DIENE)",86.58,27.86,25.44,7916.83,1.10,0.01
B11,POLY(NEOPENTYLENE TEREPHTHALATE),88.79,21.52,14.67,1404.56,1.39,0.00
B11,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],82.12,11.44,9.59,412.23,1.13,0.00
B11,TEFLON,75.97,4.15,2.77,6.72,2.20,0.00
B11,TEFLON,79.72,3.50,2.62,5.63,2.20,0.00
B11,TEFLON,83.50,3.46,3.46,19.01,2.20,0.00
B11,TEFLON,77.09,3.46,2.08,10.35,2.20,0.00
B11,TEFLON,79.22,3.40,2.47,9.08,2.20,0.00
B11,TEFLON,76.66,3.40,2.47,6.72,2.20,0.00
B11,TEFLON,84.57,2.93,2.93,15.93,2.20,0.00
B11,TEFLON,79.29,2.93,2.93,6.72,2.20,0.00
B11,TEFLON,80.22,2.77,2.77,7.87,2.20,0.00
B13,Ethylene/Vinyl Acetate Copolymer 75:25,97.15,16.36,8.52,620.45,1.00,0.00
B13,HYPROMELLOSE (4000),76.86,6.96,0.80,0.68,1.39,0.00
B13,"NYLON 6,9",81.77,10.51,10.37,387.11,1.08,0.00
B13,PARALOID(TM)B 72,87.01,20.26,15.44,2218.94,1.15,0.00
B13,PARALOID(TM)B 72,87.49,18.98,14.67,2018.76,1.15,0.00
B13,PARALOID(TM)B 72,81.14,7.72,3.86,58.16,1.15,0.00
B13,Poly(dimethylsiloxane-co-ethylene oxide) AB block copolymer 18:82,88.79,31.06,9.49,1431.48,1.30,0.00
B13,POLYETHYLENE GLYCOL 200,77.26,28.68,16.50,4187.63,0.91,0.00
B13,POLYETHYLENEIMINE,76.50,5.89,4.55,62.69,0.91,0.00
B13,POLYETHYLENEIMINE,76.08,5.18,3.45,33.50,0.91,0.00
B13,POLYETHYLENEIMINE,77.80,4.09,4.09,35.38,0.91,0.00
B13,POLYOXYETHYLENE(10) OCTYLPHENYL ETHER,88.48,32.34,12.06,2386.66,1.08,0.00
B13,POLYOXYETHYLENE(20) SORBITAN MONOOLEATE,77.23,4.78,3.41,39.24,1.10,0.00
B13,POLYPOX R14,80.17,5.79,4.82,45.27,1.13,0.00
B13,POLYPOX R14,77.13,2.73,2.73,4.42,1.13,0.00
B13,Polyvinyl Chloride 13. Grey Cable Cover,78.60,4.82,3.86,21.36,1.38,0.00
B13,Polyvinyl Chloride 13. Grey Cable Cover,80.78,4.75,0.86,1.91,1.38,0.00
B13,Polyvinyl Chloride 13. Grey Cable Cover,79.06,4.68,3.74,6.45,1.38,0.00
B13,Polyvinyl Chloride 13. Grey Cable Cover,79.42,3.66,2.14,7.55,1.38,0.00
B13,Polyvinyl Chloride 13. Grey Cable Cover,80.80,3.45,2.59,9.93,1.38,0.00
B13,Polyvinyl Chloride 21. Green Slinky Toy,76.38,10.23,4.78,128.04,1.38,0.00
B13,Polyvinyl Chloride 21. Green Slinky Toy,79.34,8.68,6.75,235.22,1.38,0.00
B13,Polyvinyl Chloride 26. White Railcard,75.54,12.54,6.75,294.48,1.38,0.00
B13,POLYVINYLFORMAL,75.37,3.45,1.73,5.40,1.23,0.00
B14,Polypropylene Isotactic Chlorinated 32% Chlorine,80.16,10.65,5.78,73.87,0.90,0.00
B14,"POLYPROPYLENE+VISTALON 404, 1:1",91.42,8.66,2.89,31.39,0.90,0.00
B16,Cellulose Acetate 4. White Fiber,87.67,9.97,3.96,24.87,1.30,0.00
B16,Cellulose Acetate 4. White Fiber,83.37,8.46,4.38,33.81,1.30,0.00
B16,Cellulose Acetate 4. White Fiber,87.75,5.47,4.79,63.27,1.30,0.00
B16,Cellulose Acetate 4. White Fiber,89.78,4.76,3.03,15.42,1.30,0.00
B16,Cellulose Acetate 4. White Fiber,88.32,3.06,2.75,6.51,1.30,0.00
B16,COLOR MASTERBATCH POLY(STYRENE-CO-ACRYLONITRILE) + 50% WHITE PIGMENT,89.34,16.88,16.01,1722.07,0.96,0.00
B16,COLOR MASTERBATCH POLY[ETHYLENE-CO-(VINYL ACETATE)] + 45% YELLOW PIGMENT #3,89.75,12.82,4.38,132.16,0.95,0.00
B16,COLOR MASTERBATCH POLY[ETHYLENE-CO-(VINYL ACETATE)] + 45% YELLOW PIGMENT #3,95.38,9.11,4.56,109.21,0.95,0.00
B16,Ethylene/Propylene Copolymer,96.34,3.46,3.03,15.42,1.00,0.00
B16,"KELTAN 314, COPOLYMER EPDM TYPE",96.46,4.69,3.99,26.58,0.86,0.00
B16,"NYLON 6,10",83.72,4.03,1.61,1.93,1.01,0.00
B16,"NYLON 6,6",82.10,14.02,12.88,212.65,1.08,0.00
B16,Poly(butylene terephthalate),95.29,5.81,3.87,39.60,1.30,0.00
B16,Poly(dimethylsiloxane-co-ethylene oxide) AB block copolymer 18:82,87.35,30.54,9.34,266.73,1.30,0.00
B16,Poly(methyl methacrylate) 15000,94.77,17.45,8.86,209.20,1.38,0.00
B16,Poly(p-phenylene ether-sulphone),93.78,21.29,20.32,3357.43,1.37,0.00
B16,POLY(STYRENE:N-BUTYL METHACRYLATE),88.17,8.71,6.77,219.62,1.37,0.00
