Microplastic,Sample,Adjusted
ABS,B1,1.25
CELLULOSE,B1,0
OTHER,B1,15
POLYAMIDE,B1,0
POLYESTER,B1,0
POLYETHYLENE,B1,0
POLYPROPYLENE ,B1,0
POLYSTYRENE,B1,0
POLYVINYL CHLORIDE,B1,0
Silicon,B1,0
Rubber,B1,5
PET,B1,0
TEFLON,B1,0
ABS,B11,1.25
CELLULOSE,B11,6.25
OTHER,B11,7.5
POLYAMIDE,B11,2.5
POLYESTER,B11,0
POLYETHYLENE,B11,0
POLYPROPYLENE ,B11,0
POLYSTYRENE,B11,0
POLYVINYL CHLORIDE,B11,0
Silicon,B11,0
Rubber,B11,0
PET,B11,0
TEFLON,B11,11.25
ABS,B13,0
CELLULOSE,B13,0
OTHER,B13,17.5
POLYAMIDE,B13,1.25
POLYESTER,B13,0
POLYETHYLENE,B13,0
POLYPROPYLENE ,B13,0
POLYSTYRENE,B13,0
POLYVINYL CHLORIDE,B13,10
Silicon,B13,1.25
Rubber,B13,0
PET,B13,0
TEFLON,B13,0
ABS,B14,0
CELLULOSE,B14,0
OTHER,B14,2.5
POLYAMIDE,B14,0
POLYESTER,B14,0
POLYETHYLENE,B14,0
POLYPROPYLENE ,B14,0
POLYSTYRENE,B14,0
POLYVINYL CHLORIDE,B14,0
Silicon,B14,0
Rubber,B14,0
PET,B14,0
TEFLON,B14,0
ABS,B16,5
CELLULOSE,B16,6.25
OTHER,B16,11.25
POLYAMIDE,B16,5
POLYESTER,B16,0
POLYETHYLENE,B16,0
POLYPROPYLENE ,B16,21.25
POLYSTYRENE,B16,76.25
POLYVINYL CHLORIDE,B16,33.75
Silicon,B16,0
Rubber,B16,2.5
PET,B16,0
TEFLON,B16,0
ABS,B17,0
CELLULOSE,B17,0
OTHER,B17,0
POLYAMIDE,B17,0
POLYESTER,B17,0
POLYETHYLENE,B17,0
POLYPROPYLENE ,B17,0
POLYSTYRENE,B17,0
POLYVINYL CHLORIDE,B17,0
Silicon,B17,0
Rubber,B17,0
PET,B17,0
TEFLON,B17,0
ABS,B18,0
CELLULOSE,B18,0
OTHER,B18,0
POLYAMIDE,B18,0
POLYESTER,B18,0
POLYETHYLENE,B18,0
POLYPROPYLENE ,B18,0
POLYSTYRENE,B18,0
POLYVINYL CHLORIDE,B18,0
Silicon,B18,0
Rubber,B18,0
PET,B18,0
TEFLON,B18,0
ABS,B19,0
CELLULOSE,B19,0
OTHER,B19,1.25
POLYAMIDE,B19,0
POLYESTER,B19,0
POLYETHYLENE,B19,0
POLYPROPYLENE ,B19,0
POLYSTYRENE,B19,0
POLYVINYL CHLORIDE,B19,5
Silicon,B19,2.5
Rubber,B19,0
PET,B19,1.25
TEFLON,B19,0
ABS,B2,0
CELLULOSE,B2,52.5
OTHER,B2,11.25
POLYAMIDE,B2,5
POLYESTER,B2,0
POLYETHYLENE,B2,0
POLYPROPYLENE ,B2,0
POLYSTYRENE,B2,3.75
POLYVINYL CHLORIDE,B2,0
Silicon,B2,1.25
Rubber,B2,2.5
PET,B2,0
TEFLON,B2,0
ABS,B20,0
CELLULOSE,B20,0
OTHER,B20,1.25
POLYAMIDE,B20,0
POLYESTER,B20,0
POLYETHYLENE,B20,1.25
POLYPROPYLENE ,B20,3.75
POLYSTYRENE,B20,0
POLYVINYL CHLORIDE,B20,2.5
Silicon,B20,1.25
Rubber,B20,0
PET,B20,0
TEFLON,B20,0
ABS,B21,0
CELLULOSE,B21,0
OTHER,B21,0
POLYAMIDE,B21,0
POLYESTER,B21,0
POLYETHYLENE,B21,0
POLYPROPYLENE ,B21,5
POLYSTYRENE,B21,0
POLYVINYL CHLORIDE,B21,11.25
Silicon,B21,0
Rubber,B21,0
PET,B21,0
TEFLON,B21,0
ABS,B22,1.25
CELLULOSE,B22,13.75
OTHER,B22,8.75
POLYAMIDE,B22,0
POLYESTER,B22,10
POLYETHYLENE,B22,0
POLYPROPYLENE ,B22,45
POLYSTYRENE,B22,0
POLYVINYL CHLORIDE,B22,18.75
Silicon,B22,0
Rubber,B22,1.25
PET,B22,22.5
TEFLON,B22,0
ABS,B23,1.25
CELLULOSE,B23,0
OTHER,B23,5
POLYAMIDE,B23,0
POLYESTER,B23,3.75
POLYETHYLENE,B23,0
POLYPROPYLENE ,B23,1.25
POLYSTYRENE,B23,0
POLYVINYL CHLORIDE,B23,53.75
Silicon,B23,0
Rubber,B23,0
PET,B23,0
TEFLON,B23,0
ABS,B24,0
CELLULOSE,B24,0
OTHER,B24,0
POLYAMIDE,B24,0
POLYESTER,B24,0
POLYETHYLENE,B24,0
POLYPROPYLENE ,B24,0
POLYSTYRENE,B24,0
POLYVINYL CHLORIDE,B24,3.75
Silicon,B24,0
Rubber,B24,1.25
PET,B24,0
TEFLON,B24,0
ABS,B25,0
CELLULOSE,B25,6.25
OTHER,B25,0
POLYAMIDE,B25,0
POLYESTER,B25,0
POLYETHYLENE,B25,0
POLYPROPYLENE ,B25,0
POLYSTYRENE,B25,0
POLYVINYL CHLORIDE,B25,0
Silicon,B25,0
Rubber,B25,0
PET,B25,0
TEFLON,B25,0
ABS,B26,0
CELLULOSE,B26,0
OTHER,B26,0
POLYAMIDE,B26,0
POLYESTER,B26,0
POLYETHYLENE,B26,0
POLYPROPYLENE ,B26,0
POLYSTYRENE,B26,1.25
POLYVINYL CHLORIDE,B26,2.5
Silicon,B26,2.5
Rubber,B26,0
PET,B26,5
TEFLON,B26,0
ABS,B27,0
CELLULOSE,B27,0
OTHER,B27,1.25
POLYAMIDE,B27,0
POLYESTER,B27,0
POLYETHYLENE,B27,0
POLYPROPYLENE ,B27,0
POLYSTYRENE,B27,0
POLYVINYL CHLORIDE,B27,0
Silicon,B27,0
Rubber,B27,0
PET,B27,0
TEFLON,B27,0
ABS,B28,0
CELLULOSE,B28,2.5
OTHER,B28,6.25
POLYAMIDE,B28,1.25
POLYESTER,B28,1.25
POLYETHYLENE,B28,0
POLYPROPYLENE ,B28,16.25
POLYSTYRENE,B28,0
POLYVINYL CHLORIDE,B28,1.25
Silicon,B28,1.25
Rubber,B28,5
PET,B28,0
TEFLON,B28,0
ABS,B29,0
