Sample,Particles/ml_noblanking,Particles/mL_corrected
CT1,16.5,NA
CT2,7,NA
B17,0,0
B18,0,0
B19,18.5,10
B20,20.4,10
B21,37,16.25
B22,189.3,121.25
B23,94,65
B24,13,10
B25,29.6,6.25
B26,22.2,11.25
B27,14.2,1.25
B28,77.8,35
B29,24.1,5
B31,10,2.5
B32,10,2.5
B33,73,52.5
B34,5,0
B35,13,6.25
B36,35,23.75
B37,312,286.25
B38,12,3.75
B39,9,5
B40,7,1.25
B41,571,513.75
B42,70,58.75
B43,35,11.25
B44,33,11.25
B45,30,5
B46,20,3.75
B47,128,125
B48,83,55
B49,1372,1211.25
B50,55,23.75
B51,27,18.75
B52,40,35
B53,101,91.25
B54,17,7.5
B55,10,1.25
B56,28,15
B1,45.8,22.5
B2,116.7,76.25
B3,86.7,68.75
B4,19.2,0
B5,45,20
B6,55,28.75
B7,175,122.5
B8,118.3,100
B9,15.4,5
B11,38.7,28.75
B13,47.8,30
B14,10,2.5
B16,210,161.25
B30,31.5,14.56
